pair,count,%,raw,raw%
ki,23,0.02300,1752,0.02316
pm,23,0.02300,1740,0.02301
tn,21,0.02100,1635,0.02162
md,20,0.02000,1586,0.02097
mg,20,0.02000,1562,0.02065
dt,20,0.02000,1555,0.02056
sr,19,0.01900,1502,0.01986
ny,19,0.01900,1493,0.01974
xa,19,0.01900,1476,0.01951
bt,19,0.01900,1469,0.01942
eh,19,0.01900,1464,0.01936
ka,19,0.01900,1457,0.01926
lc,19,0.01900,1443,0.01908
df,18,0.01800,1414,0.01869
wp,18,0.01800,1392,0.01840
za,18,0.01800,1383,0.01829
sd,17,0.01700,1359,0.01797
gg,17,0.01700,1357,0.01794
gp,17,0.01700,1347,0.01781
dn,17,0.01700,1346,0.01780
yc,17,0.01700,1346,0.01780
ye,17,0.01700,1312,0.01735
py,17,0.01700,1302,0.01721
yl,17,0.01700,1293,0.01710
dx,17,0.01700,1286,0.01700
ak,16,0.01600,1255,0.01659
mv,16,0.01600,1233,0.01630
dv,15,0.01500,1203,0.01591
lg,15,0.01500,1197,0.01583
ek,15,0.01500,1193,0.01577
vd,15,0.01500,1183,0.01564
xc,15,0.01500,1183,0.01564
gm,15,0.01500,1176,0.01555
mt,15,0.01500,1167,0.01543
iu,15,0.01500,1166,0.01542
hs,15,0.01500,1146,0.01515
kt,15,0.01500,1146,0.01515
fc,15,0.01500,1143,0.01511
hu,15,0.01500,1135,0.01501
mr,14,0.01400,1125,0.01487
wm,14,0.01400,1119,0.01479
lf,14,0.01400,1106,0.01462
oe,14,0.01400,1087,0.01437
gt,14,0.01400,1071,0.01416
cd,14,0.01400,1063,0.01405
sb,13,0.01300,1047,0.01384
sv,13,0.01300,1034,0.01367
sg,13,0.01300,1027,0.01358
lv,13,0.01300,1017,0.01345
yb,13,0.01300,1004,0.01327
ku,13,0.01300,998,0.01319
gd,13,0.01300,991,0.01310
dg,13,0.01300,985,0.01302
nh,12,0.01200,983,0.01300
ii,12,0.01200,981,0.01297
fn,12,0.01200,968,0.01280
rw,12,0.01200,967,0.01279
rb,12,0.01200,950,0.01256
ym,12,0.01200,938,0.01240
lm,12,0.01200,929,0.01228
nb,12,0.01200,926,0.01224
gy,12,0.01200,917,0.01212
gc,12,0.01200,913,0.01207
hm,11,0.01100,906,0.01198
hd,11,0.01100,905,0.01197
xy,11,0.01100,875,0.01157
tx,11,0.01100,873,0.01154
db,11,0.01100,861,0.01138
fw,11,0.01100,847,0.01120
wl,11,0.01100,843,0.01115
bn,11,0.01100,835,0.01104
pf,10,0.01000,812,0.01074
ya,10,0.01000,805,0.01064
mn,10,0.01000,803,0.01062
cn,10,0.01000,798,0.01055
dy,10,0.01000,789,0.01043
pn,10,0.01000,764,0.01010
hn,10,0.01000,758,0.01002
wd,10,0.01000,758,0.01002
cb,9,0.00900,741,0.00980
vs,9,0.00900,736,0.00973
kn,9,0.00900,716,0.00947
yd,9,0.00900,707,0.00935
hy,9,0.00900,699,0.00924
bc,9,0.00900,695,0.00919
xg,9,0.00900,694,0.00918
kg,9,0.00900,685,0.00906
pg,8,0.00800,679,0.00898
oy,8,0.00800,669,0.00885
ik,8,0.00800,663,0.00877
yf,8,0.00800,661,0.00874
gb,8,0.00800,654,0.00865
wb,8,0.00800,635,0.00840
wt,8,0.00800,628,0.00830
vm,7,0.00700,587,0.00776
pk,7,0.00700,571,0.00755
iq,7,0.00700,564,0.00746
gf,7,0.00700,548,0.00725
cf,7,0.00700,542,0.00717
kc,7,0.00700,535,0.00707
xs,6,0.00600,528,0.00698
wc,6,0.00600,526,0.00695
pb,6,0.00600,509,0.00673
xw,6,0.00600,504,0.00666
pw,6,0.00600,498,0.00658
uo,6,0.00600,497,0.00657
ju,6,0.00600,493,0.00652
nw,6,0.00600,480,0.00635
ej,6,0.00600,469,0.00620
vp,6,0.00600,467,0.00617
fp,6,0.00600,465,0.00615
lr,5,0.00500,448,0.00592
nq,5,0.00500,447,0.00591
xv,5,0.00500,447,0.00591
yw,5,0.00500,435,0.00575
fm,5,0.00500,433,0.00572
hg,5,0.00500,432,0.00571
xd,5,0.00500,428,0.00566
cq,5,0.00500,411,0.00543
yr,5,0.00500,404,0.00534
px,5,0.00500,380,0.00502
hw,4,0.00400,370,0.00489
zo,4,0.00400,369,0.00488
az,4,0.00400,365,0.00483
hl,4,0.00400,362,0.00479
bb,4,0.00400,361,0.00477
mh,4,0.00400,355,0.00469
kp,4,0.00400,354,0.00468
vt,4,0.00400,351,0.00464
yv,4,0.00400,345,0.00456
mw,4,0.00400,340,0.00450
fd,4,0.00400,339,0.00448
qo,4,0.00400,338,0.00447
kb,4,0.00400,333,0.00440
vc,4,0.00400,329,0.00435
tk,4,0.00400,328,0.00434
ae,4,0.00400,325,0.00430
dj,4,0.00400,318,0.00420
lw,4,0.00400,318,0.00420
kd,4,0.00400,315,0.00416
hb,4,0.00400,312,0.00413
kr,4,0.00400,312,0.00413
xo,4,0.00400,304,0.00402
kf,3,0.00300,295,0.00390
zi,3,0.00300,295,0.00390
hp,3,0.00300,293,0.00387
tq,3,0.00300,293,0.00387
aa,3,0.00300,291,0.00385
lh,3,0.00300,283,0.00374
bk,3,0.00300,282,0.00373
yg,3,0.00300,269,0.00356
rh,3,0.00300,268,0.00354
ez,3,0.00300,267,0.00353
cg,3,0.00300,261,0.00345
yu,3,0.00300,254,0.00336
gw,3,0.00300,251,0.00332
bm,3,0.00300,250,0.00331
bp,3,0.00300,246,0.00325
gv,3,0.00300,245,0.00324
ah,3,0.00300,238,0.00315
hf,3,0.00300,237,0.00313
ln,3,0.00300,234,0.00309
xr,3,0.00300,233,0.00308
vg,2,0.00200,222,0.00294
dk,2,0.00200,221,0.00292
xf,2,0.00200,219,0.00290
bd,2,0.00200,218,0.00288
lk,2,0.00200,214,0.00283
vr,2,0.00200,208,0.00275
fv,2,0.00200,201,0.00266
oh,2,0.00200,198,0.00262
pq,2,0.00200,194,0.00256
yk,2,0.00200,190,0.00251
sq,2,0.00200,189,0.00250
aq,2,0.00200,184,0.00243
bg,2,0.00200,184,0.00243
cw,2,0.00200,182,0.00241
kw,2,0.00200,182,0.00241
vn,2,0.00200,182,0.00241
cv,2,0.00200,180,0.00238
yh,2,0.00200,179,0.00237
km,2,0.00200,176,0.00233
xx,2,0.00200,176,0.00233
zr,2,0.00200,168,0.00222
vh,2,0.00200,165,0.00218
hk,2,0.00200,163,0.00216
ko,2,0.00200,162,0.00214
ux,2,0.00200,162,0.00214
fx,2,0.00200,158,0.00209
nj,2,0.00200,158,0.00209
tj,2,0.00200,157,0.00208
lx,2,0.00200,155,0.00205
dq,2,0.00200,153,0.00202
rq,2,0.00200,153,0.00202
vb,1,0.00100,148,0.00196
hz,1,0.00100,147,0.00194
xb,1,0.00100,146,0.00193
fg,1,0.00100,144,0.00190
oj,1,0.00100,142,0.00188
mq,1,0.00100,138,0.00182
gq,1,0.00100,136,0.00180
uu,1,0.00100,136,0.00180
kq,1,0.00100,134,0.00177
sz,1,0.00100,134,0.00177
wf,1,0.00100,127,0.00168
bf,1,0.00100,123,0.00163
wg,1,0.00100,123,0.00163
kl,1,0.00100,119,0.00157
ao,1,0.00100,118,0.00156
mx,1,0.00100,115,0.00152
fh,1,0.00100,113,0.00149
ja,1,0.00100,113,0.00149
vf,1,0.00100,113,0.00149
yz,1,0.00100,112,0.00148
aj,1,0.00100,110,0.00145
ww,1,0.00100,99,0.00131
rj,1,0.00100,96,0.00127
gj,1,0.00100,94,0.00124
hv,1,0.00100,93,0.00123
jp,1,0.00100,92,0.00122
vq,1,0.00100,87,0.00115
xl,1,0.00100,85,0.00112
fb,1,0.00100,83,0.00110
wk,1,0.00100,83,0.00110
ih,1,0.00100,81,0.00107
sx,1,0.00100,81,0.00107
tz,1,0.00100,79,0.00104
qc,1,0.00100,77,0.00102
qi,1,0.00100,77,0.00102
qs,0,0.00000,75,0.00099
my,0,0.00000,73,0.00097
qa,0,0.00000,73,0.00097
wq,0,0.00000,68,0.00090
zs,0,0.00000,65,0.00086
mk,0,0.00000,64,0.00085
sj,0,0.00000,63,0.00083
gk,0,0.00000,62,0.00082
qe,0,0.00000,57,0.00075
vl,0,0.00000,57,0.00075
hh,0,0.00000,55,0.00073
qn,0,0.00000,54,0.00071
wu,0,0.00000,53,0.00070
zc,0,0.00000,53,0.00070
hq,0,0.00000,52,0.00069
yq,0,0.00000,51,0.00067
xn,0,0.00000,50,0.00066
qg,0,0.00000,49,0.00065
xj,0,0.00000,47,0.00062
yj,0,0.00000,47,0.00062
lj,0,0.00000,46,0.00061
qb,0,0.00000,46,0.00061
wv,0,0.00000,46,0.00061
zt,0,0.00000,45,0.00059
bv,0,0.00000,43,0.00057
zv,0,0.00000,42,0.00056
bh,0,0.00000,41,0.00054
fq,0,0.00000,40,0.00053
vk,0,0.00000,40,0.00053
qp,0,0.00000,39,0.00052
uv,0,0.00000,39,0.00052
fk,0,0.00000,38,0.00050
kv,0,0.00000,38,0.00050
qd,0,0.00000,38,0.00050
nx,0,0.00000,37,0.00049
js,0,0.00000,36,0.00048
lz,0,0.00000,36,0.00048
xh,0,0.00000,33,0.00044
rx,0,0.00000,30,0.00040
zp,0,0.00000,30,0.00040
bx,0,0.00000,29,0.00038
ji,0,0.00000,28,0.00037
cx,0,0.00000,26,0.00034
gx,0,0.00000,26,0.00034
qv,0,0.00000,26,0.00034
lq,0,0.00000,25,0.00033
ql,0,0.00000,25,0.00033
qm,0,0.00000,25,0.00033
oq,0,0.00000,24,0.00032
zf,0,0.00000,24,0.00032
cj,0,0.00000,23,0.00030
zu,0,0.00000,23,0.00030
bw,0,0.00000,22,0.00029
ij,0,0.00000,22,0.00029
kh,0,0.00000,22,0.00029
mj,0,0.00000,21,0.00028
jf,0,0.00000,20,0.00026
vu,0,0.00000,20,0.00026
zb,0,0.00000,20,0.00026
ky,0,0.00000,19,0.00025
qr,0,0.00000,19,0.00025
qw,0,0.00000,19,0.00025
uw,0,0.00000,19,0.00025
qf,0,0.00000,18,0.00024
xu,0,0.00000,17,0.00022
pj,0,0.00000,16,0.00021
qt,0,0.00000,16,0.00021
yx,0,0.00000,15,0.00020
nz,0,0.00000,14,0.00019
uq,0,0.00000,14,0.00019
vw,0,0.00000,14,0.00019
jc,0,0.00000,13,0.00017
rz,0,0.00000,13,0.00017
xq,0,0.00000,13,0.00017
kk,0,0.00000,12,0.00016
zd,0,0.00000,12,0.00016
hx,0,0.00000,10,0.00013
zm,0,0.00000,10,0.00013
yy,0,0.00000,9,0.00012
jd,0,0.00000,8,0.00011
mz,0,0.00000,8,0.00011
