keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,roll_imbalance,mean_streak,streak_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,left_streak,right_streak
_uspv,lerad,kqzy_,whtc_,finog,_mjxb,5-7/0!,0.5738,19.60%,0.25%,36.09%,0.04%,0.01%,1.78,1.00,49.66%,50.34%,49.99%,50.01%,8586950.50,4264144.60,4322805.90,2492373,2493319,1799333,487865,489088,1093146,1093213,1.78,1.78
_uofw,daerp,kxjy_,vgnl_,citsh,_mqzb,8-10/0,0.5731,15.87%,0.07%,41.16%,0.72%,0.91%,1.63,1.00,47.53%,52.47%,49.82%,50.18%,8534849.00,4056825.10,4478023.90,2483838,2501854,2051942,395407,395701,962433,971317,1.63,1.63
_uofw,daerg,kxzy_,bpsl_,citnh,_mjqv,>=11/0,0.5677,14.66%,0.08%,42.48%,1.51%,2.30%,1.60,1.00,46.58%,53.42%,49.62%,50.38%,8604044.90,4007603.30,4596441.60,2473941,2511751,2118130,365552,365266,922914,944648,1.60,1.60
_lapy,dseru,kzqv_,whtc_,finom,_gjxb,1/0,0.5647,20.44%,0.26%,36.09%,0.04%,0.01%,1.78,1.00,49.70%,50.30%,49.99%,50.01%,8538560.60,4244009.20,4294551.40,2492373,2493319,1799333,508860,510196,1093146,1093213,1.78,1.78
_lofy,mserp,bxqu_,khtc_,vainw,_djzg,0/27-28,0.5193,24.74%,0.03%,35.00%,0.45%,0.93%,1.82,0.99,51.78%,48.22%,50.11%,49.89%,8425693.70,4362858.80,4062834.90,2498498,2487194,1745238,616741,616933,1115015,1125439,1.81,1.83
_pofb,userm,yxql_,khtc_,vainw,_djzg,0/<=20,0.5190,24.77%,0.14%,35.00%,0.45%,0.93%,1.82,0.99,51.69%,48.31%,50.11%,49.89%,8409330.40,4346495.50,4062834.90,2498498,2487194,1745238,617798,616933,1115015,1125439,1.81,1.83
_fouw,pnerg,bxqd_,khtc_,vsiam,_ljzy,0/>=1,0.5129,25.44%,0.25%,35.84%,0.64%,0.56%,1.79,1.00,50.28%,49.72%,50.16%,49.84%,8338670.70,4192544.30,4146126.40,2500837,2484855,1786905,635038,633451,1102465,1096322,1.79,1.79
_labk,userp,yxjm_,vgnd_,fitoc,_hqzw,0/10,0.5073,25.92%,0.06%,35.02%,1.98%,1.83%,1.82,1.00,49.61%,50.39%,49.50%,50.50%,8400711.50,4167909.20,4232802.30,2467967,2517725,1745745,646055,646472,1109652,1130295,1.82,1.81
_loup,bresf,yxqm_,kgnd_,viatc,_hjzw,0/25-26,0.4923,27.38%,0.00%,35.00%,0.45%,0.93%,1.82,0.99,51.77%,48.23%,50.11%,49.89%,8446897.60,4373011.50,4073886.10,2498498,2487194,1745238,682591,682609,1115015,1125439,1.81,1.83
_plyv,mreau,bjgd_,khts_,finox,_cqzw,0/29-39,0.4903,26.40%,0.01%,34.46%,3.61%,3.32%,1.83,1.00,50.48%,49.52%,49.08%,50.92%,8700184.90,4391976.10,4308208.80,2447081,2538611,1718034,658156,658120,1114666,1152992,1.84,1.83
_mlpv,greau,yjbd_,kfon_,citsz,_hxqw,0/>=40,0.4709,28.49%,0.00%,34.46%,3.61%,3.32%,1.83,1.00,50.23%,49.77%,49.08%,50.92%,8707940.30,4374257.80,4333682.50,2447081,2538611,1718034,710315,710341,1114666,1152992,1.84,1.83
