keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,roll_imbalance,mean_streak,streak_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,left_streak,right_streak
blawy,gnerd,jx___,fmoup,ctsih,zvkq_,20/10,0.2181,17.21%,0.82%,35.82%,0.60%,1.53%,1.79,0.99,47.40%,52.60%,49.85%,50.15%,9157395.90,4340578.40,4816817.50,2485286,2500406,1785710,430765,427272,1091484,1108498,1.78,1.80
_fmpx,rneod,kvbg_,jylu_,haits,_cwzq,7/10b,0.2177,19.30%,0.08%,35.36%,0.14%,0.60%,1.80,0.99,50.49%,49.51%,50.03%,49.97%,8806376.20,4446448.20,4359928.00,2494576,2491116,1763086,481359,480952,1107950,1114656,1.80,1.81
jpumb,daerl,_vyfk,zhtsq,winoc,xg___,10/10,0.2162,20.85%,0.02%,34.94%,0.16%,0.25%,1.82,1.00,54.36%,45.64%,49.96%,50.04%,8628886.80,4690295.10,3938591.70,2490854,2494838,1741754,519695,519805,1123372,1120566,1.82,1.82
xwck_,daerl,bypmv,zuthj,gions,qf___,7/10,0.2152,21.26%,0.09%,34.47%,0.07%,1.41%,1.83,0.99,53.71%,46.29%,49.98%,50.02%,8630234.00,4635427.20,3994806.80,2491911,2493781,1718509,530137,529646,1125536,1141647,1.82,1.84
