keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,roll_imbalance,mean_streak,streak_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,left_streak,right_streak
_uspk,lerad,xqvy_,whtc_,finog,_mbzj,2-6/0! + 7/1,0.5169,19.49%,0.34%,36.00%,0.22%,0.52%,1.78,1.00,49.85%,50.15%,50.05%,49.95%,8455478.50,4215390.20,4240088.30,2495571,2490121,1794687,484928,486578,1098331,1092674,1.79,1.78
_uspk,larem,zjwf_,vhtc_,giond,_byxq,7/0,0.5137,18.35%,0.03%,37.77%,0.07%,0.14%,1.73,1.00,50.27%,49.73%,49.98%,50.02%,8438199.50,4241964.90,4196234.60,2492026,2493666,1883198,457609,457470,1052007,1050487,1.73,1.73
_uofw,daerp,jxky_,vgnl_,citsh,_mbzq,8-10/0,0.5030,15.87%,0.07%,41.16%,0.72%,0.91%,1.63,1.00,47.82%,52.18%,49.82%,50.18%,8444944.80,4038006.00,4406938.80,2483838,2501854,2051942,395407,395701,962433,971317,1.63,1.63
_uspb,lraem,jxky_,ghtc_,finod,_wvzq,7/10,0.5003,21.06%,0.23%,35.02%,1.98%,1.83%,1.82,1.00,49.78%,50.22%,49.50%,50.50%,8566432.80,4264517.90,4301914.90,2467967,2517725,1745745,525683,524493,1109652,1130295,1.82,1.81
_msub,lraep,jxky_,vhtc_,finod,_gwzq,7/50,0.4981,21.76%,0.10%,35.02%,1.98%,1.83%,1.82,1.00,50.20%,49.80%,49.50%,50.50%,8426829.00,4230373.90,4196455.10,2467967,2517725,1745745,542614,542073,1109652,1130295,1.82,1.81
_usby,marel,jxkp_,vwof_,ctinh,_dgzq,5/50!,0.4953,21.51%,0.00%,35.02%,1.98%,1.83%,1.82,1.00,49.25%,50.75%,49.50%,50.50%,8630434.60,4250081.20,4380353.40,2467967,2517725,1745745,536119,536130,1109652,1130295,1.82,1.81
_uofw,daerg,zxky_,bpsl_,citnh,_mvjq,20/0,0.4937,14.66%,0.08%,42.48%,1.51%,2.30%,1.60,1.00,46.67%,53.33%,49.62%,50.38%,8542591.10,3986520.40,4556070.70,2473941,2511751,2118130,365552,365266,922914,944648,1.60,1.60
_dngw,poreu,zqbf_,khtc_,yisal,_mvxj,1/0,0.4882,22.86%,0.29%,35.98%,0.39%,0.04%,1.78,1.00,49.83%,50.17%,50.10%,49.90%,8258270.40,4115508.40,4142762.00,2497639,2488053,1793711,570615,568937,1096200,1095781,1.78,1.79
_gdyv,paerl,jbum_,khts_,cinox,_fwzq,2/50 + 5/100,0.4705,23.76%,0.02%,34.46%,3.61%,3.32%,1.83,1.00,51.17%,48.83%,49.08%,50.92%,8654765.40,4428911.20,4225854.20,2447081,2538611,1718034,592353,592459,1114666,1152992,1.84,1.83
