keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_upcy,lread,wjfkx,zgnbq,hiots,vm___,lreadhiots,1197.597138,18.34%,←001.72%,38.03%,→000.55%,58472854471.80,←000.81%,→001.88%,1.72,→000.96%,1.71,1.73,07.76% │ 09.71% │ 12.05% │ 12.18% │ 08.50%,08.76% │ 12.21% │ 11.99% │ 09.23% │ 07.62%,05.96% │ 09.54% │ 16.30% │ 12.34% │ 05.72%,05.89% │ 12.24% │ 15.05% │ 10.41% │ 06.55%,←001.90% │ ←005.25% │ ←000.52% │ →000.22% │ →002.97%,24.99%,63.63%,11.38%,←003.79% │ →006.21% │ ←042.10%,50.20%,49.80%,49.86%,50.14%,29354943091.74,29117911380.06,8612559328,8660451125,6568441391,1597029797,1570001975,3585458538,3653999726
_jpug,rtehm,qyklv,bcofz,dians,xw___,rtehmdians,1197.471934,17.20%,←000.54%,38.22%,→001.28%,58432496603.90,←000.30%,→000.63%,1.72,←000.47%,1.72,1.71,08.19% │ 09.26% │ 11.79% │ 12.69% │ 08.14%,07.98% │ 12.83% │ 12.05% │ 09.27% │ 07.79%,06.63% │ 10.73% │ 14.86% │ 11.73% │ 05.73%,05.63% │ 12.61% │ 15.83% │ 09.68% │ 06.58%,←005.15% │ →000.07% │ →002.16% │ →001.13% │ ←001.99%,26.65%,60.71%,12.64%,→047.52% │ ←001.57% │ ←343.18%,50.07%,49.93%,49.68%,50.32%,29259855885.32,29172640718.58,8580705160,8692305293,6602072239,1489655254,1481627013,3591452734,3614374682
_jpug,rtehm,qyklv,bcofx,dians,zw___,rtehmdians,1197.322849,17.17%,←000.88%,38.22%,→001.28%,58427355738.38,←000.32%,→000.63%,1.72,←000.47%,1.72,1.71,08.19% │ 09.26% │ 11.80% │ 12.69% │ 08.14%,07.91% │ 12.82% │ 12.05% │ 09.27% │ 07.87%,06.63% │ 10.73% │ 14.86% │ 11.73% │ 05.73%,05.57% │ 12.61% │ 15.83% │ 09.68% │ 06.64%,←004.10% │ →000.06% │ →002.14% │ →001.07% │ ←002.99%,26.73%,60.71%,12.56%,→047.75% │ ←001.59% │ ←358.53%,50.08%,49.92%,49.68%,50.32%,29259855885.32,29167499853.06,8580705160,8692305293,6602072239,1489655254,1476615937,3591452734,3614374682
_blyq,sotih,zvmuk,gjnfw,cerad,xp___,sotihcerad,1197.253359,18.66%,→001.03%,38.52%,←000.38%,57635727532.09,←000.52%,←002.60%,1.71,←001.56%,1.72,1.69,07.88% │ 10.29% │ 11.72% │ 12.27% │ 07.97%,08.33% │ 12.66% │ 11.04% │ 10.22% │ 07.63%,06.58% │ 10.26% │ 15.67% │ 12.07% │ 05.53%,05.57% │ 14.35% │ 14.02% │ 10.46% │ 05.51%,←003.36% │ ←000.65% │ ←006.17% │ →003.05% │ →004.32%,25.44%,61.86%,12.70%,→048.96% │ ←005.03% │ ←244.82%,50.13%,49.87%,50.09%,49.91%,28891970950.33,28743756581.76,8652843267,8620167186,6653921780,1603384070,1620083228,3622845925,3531131950
_ucpj,lread,wxkfy,qbngv,stoih,zm___,lreadstoih,1197.239477,18.22%,←002.08%,38.03%,→000.55%,58528009406.61,→001.70%,→001.88%,1.72,→000.96%,1.71,1.73,07.76% │ 09.65% │ 11.74% │ 12.03% │ 08.40%,08.76% │ 12.14% │ 12.27% │ 09.70% │ 07.56%,05.96% │ 09.50% │ 16.04% │ 12.60% │ 05.76%,06.68% │ 13.02% │ 15.05% │ 09.64% │ 05.76%,←002.56% │ →000.56% │ →004.28% │ →000.90% │ →004.12%,24.43%,63.26%,12.30%,→034.28% │ →005.72% │ ←194.14%,49.57%,50.43%,49.86%,50.14%,29013571993.63,29514437412.98,8612559328,8660451125,6568441391,1589837397,1557478295,3585458538,3653999726
_xpmy,rtehc,qgvlk,wuofj,dians,zb___,rtehcdians,1197.133179,16.34%,→001.62%,38.36%,←000.75%,58489045817.72,←002.60%,←000.58%,1.71,→000.12%,1.71,1.71,08.04% │ 09.37% │ 12.35% │ 12.43% │ 08.45%,08.04% │ 11.86% │ 11.75% │ 09.59% │ 08.12%,06.63% │ 11.04% │ 15.19% │ 11.55% │ 05.78%,05.64% │ 11.99% │ 15.83% │ 09.68% │ 06.68%,→001.02% │ →002.30% │ ←005.11% │ ←004.81% │ ←005.18%,25.36%,62.31%,12.33%,→049.72% │ ←005.46% │ ←372.05%,50.64%,49.36%,50.19%,49.81%,29619833969.33,28869211848.39,8668922673,8604087780,6625131472,1399312220,1422401260,3601736847,3581031336
_kfcw,daerl,pjbuq,xgoyv,sinth,zm___,daerlsinth,1197.065505,18.48%,→001.53%,37.68%,→001.25%,58951886363.09,→001.47%,→001.59%,1.73,→000.25%,1.73,1.73,07.78% │ 08.99% │ 11.34% │ 12.70% │ 08.82%,08.84% │ 12.53% │ 11.87% │ 09.32% │ 07.82%,05.97% │ 09.25% │ 15.78% │ 12.64% │ 06.06%,06.77% │ 12.24% │ 15.05% │ 10.50% │ 05.76%,→000.54% │ →003.55% │ →004.40% │ ←001.38% │ →000.21%,24.46%,62.89%,12.66%,→035.26% │ →003.77% │ ←163.96%,49.63%,50.37%,49.69%,50.31%,29257480332.28,29694406030.81,8582161662,8690848791,6507866279,1584036537,1608585635,3620752338,3679281038
_kfcw,daerl,pjbuq,zgoyv,sinth,xm___,daerlsinth,1196.929783,18.49%,→001.55%,37.68%,→001.25%,58953465518.54,→001.48%,→001.59%,1.73,→000.25%,1.73,1.73,07.78% │ 08.99% │ 11.34% │ 12.70% │ 08.82%,08.85% │ 12.53% │ 11.86% │ 09.31% │ 07.82%,05.97% │ 09.25% │ 15.78% │ 12.64% │ 06.06%,06.77% │ 12.24% │ 15.05% │ 10.50% │ 05.76%,→000.54% │ →003.51% │ →004.38% │ ←001.38% │ →000.31%,24.38%,62.88%,12.74%,→034.94% │ →003.77% │ ←158.16%,49.63%,50.37%,49.69%,50.31%,29257480332.28,29695985186.26,8582161662,8690848791,6507866279,1584036537,1609011033,3620752338,3679281038
_ucpj,lread,wxkfy,zbogv,sitnh,qm___,lreadsitnh,1196.881162,18.31%,←001.07%,38.03%,→000.55%,57978525491.97,←000.17%,→001.88%,1.72,→000.96%,1.71,1.73,07.83% │ 09.74% │ 11.85% │ 12.15% │ 08.48%,08.84% │ 11.63% │ 12.53% │ 09.13% │ 07.83%,05.96% │ 09.50% │ 16.04% │ 12.60% │ 05.76%,06.68% │ 11.81% │ 16.36% │ 09.54% │ 05.76%,→000.05% │ ←006.65% │ →005.39% │ ←004.40% │ →004.04%,24.83%,62.44%,12.73%,→035.00% │ →001.45% │ ←167.76%,50.04%,49.96%,49.86%,50.14%,29013571993.63,28964953498.34,8612559328,8660451125,6568441391,1589837397,1573014458,3585458538,3653999726
_ucpj,lread,wzkfy,xgnbv,sioth,qm___,lreadsioth,1196.650476,18.04%,←000.23%,38.15%,→000.80%,58330859318.80,→001.44%,→002.41%,1.72,→001.17%,1.71,1.73,07.78% │ 09.59% │ 11.79% │ 12.05% │ 08.43%,08.87% │ 12.19% │ 12.02% │ 09.35% │ 07.94%,05.96% │ 09.44% │ 16.04% │ 12.60% │ 05.76%,06.74% │ 12.24% │ 15.05% │ 10.41% │ 05.76%,→001.99% │ ←002.60% │ →001.88% │ →001.16% │ →004.98%,23.81%,63.93%,12.26%,→031.57% │ →006.80% │ ←190.86%,49.64%,50.36%,49.80%,50.20%,28954295171.83,29376564146.97,8601676035,8671334418,6590124923,1559842465,1556305354,3564806039,3652968693
