keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,roll_imbalance,hands_imbalance,row_switch_ratio,switch_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,bigram_switches,row_switch_cost,left_rolls,right_rolls
_mup_,lreob,wfydx,_htc_,kanis,qgvzj,sinakboerl,20.1090,9.11%,3.60%,24.55%,34.26%,52.04%,47.96%,49.08%,50.92%,8541936.70,4444817.50,4097119.20,2447150,2538542,1708284,1223847,1084370,1193038
_mup_,lreob,wfydx,_htc_,kanis,qgvjz,sinakboerl,20.1085,9.11%,3.60%,24.55%,34.26%,52.03%,47.97%,49.08%,50.92%,8542392.70,4444817.50,4097575.20,2447150,2538542,1708284,1223847,1084370,1193038
_mub_,lreop,wfydx,_htc_,kanis,zgvjq,sinakpoerl,20.1069,9.11%,3.60%,24.15%,34.26%,52.11%,47.89%,49.08%,50.92%,8564079.30,4463056.20,4101023.10,2447150,2538542,1708284,1203964,1084370,1193038
_mub_,lreop,wfydx,_htc_,kanis,zgvqj,sinakpoerl,20.1037,9.11%,3.60%,24.15%,34.26%,52.09%,47.91%,49.08%,50.92%,8567453.20,4463056.20,4104397.00,2447150,2538542,1708284,1203964,1084370,1193038
_mlux,preob,vyfdj,zhtc_,wnaig,qsk__,gianwboerp,20.0882,8.27%,5.02%,28.86%,33.48%,51.12%,48.88%,48.71%,51.29%,8498258.50,4344476.20,4153782.30,2428606,2557086,1669312,1438896,1108228,1208152
_mub_,lreop,wfydx,_htc_,kians,qgvzj,snaikpoerl,20.0851,9.11%,3.60%,24.15%,34.26%,51.97%,48.03%,49.08%,50.92%,8587643.70,4463056.20,4124587.50,2447150,2538542,1708284,1203964,1084370,1193038
_mup_,lreob,wfydj,_htc_,kanis,qgvxz,sinakboerl,20.0847,9.31%,3.45%,24.64%,34.25%,52.16%,47.84%,49.12%,50.88%,8554807.70,4462057.10,4092750.60,2449097,2536595,1707354,1228326,1083521,1194817
_mup_,lreob,wyfdj,_htc_,kinas,qgvxz,sanikboerl,20.0836,9.31%,3.45%,24.64%,34.25%,52.50%,47.50%,49.12%,50.88%,8555961.00,4492002.70,4063958.30,2449097,2536595,1707354,1228326,1083521,1194817
_mub_,lreop,wfydx,_htc_,kians,qgvjz,snaikpoerl,20.0834,9.11%,3.60%,24.15%,34.26%,51.96%,48.04%,49.08%,50.92%,8589488.30,4463056.20,4126432.10,2447150,2538542,1708284,1203964,1084370,1193038
_mub_,lreop,wfydj,_htc_,kanis,qgvxz,sinakpoerl,20.0825,9.31%,3.45%,24.28%,34.25%,52.27%,47.73%,49.12%,50.88%,8574951.60,4482201.00,4092750.60,2449097,2536595,1707354,1210566,1083521,1194817
_mub_,lreop,wyfdj,_htc_,kinas,qgvxz,sanikpoerl,20.0817,9.31%,3.45%,24.28%,34.25%,52.61%,47.39%,49.12%,50.88%,8575749.80,4511791.50,4063958.30,2449097,2536595,1707354,1210566,1083521,1194817
_mup_,lreob,fwydj,_htc_,kinas,qgvxz,sanikboerl,20.0768,9.31%,3.45%,24.64%,34.25%,52.54%,47.46%,49.12%,50.88%,8563321.10,4499362.80,4063958.30,2449097,2536595,1707354,1228326,1083521,1194817
_mub_,lreop,fwydj,_htc_,kinas,qgvxz,sanikpoerl,20.0746,9.31%,3.45%,24.28%,34.25%,52.65%,47.35%,49.12%,50.88%,8583465.00,4519506.70,4063958.30,2449097,2536595,1707354,1210566,1083521,1194817
_mup_,lreob,wfydj,_htc_,kians,qgvxz,snaikboerl,20.0597,9.31%,3.45%,24.64%,34.25%,51.99%,48.01%,49.12%,50.88%,8581886.20,4462057.10,4119829.10,2449097,2536595,1707354,1228326,1083521,1194817
_mub_,lreop,wfydj,_htc_,kians,qgvxz,snaikpoerl,20.0575,9.31%,3.45%,24.28%,34.25%,52.11%,47.89%,49.12%,50.88%,8602030.10,4482201.00,4119829.10,2449097,2536595,1707354,1210566,1083521,1194817
_mup_,lreob,fwydj,_htc_,kanis,qgvxz,sinakboerl,20.0502,9.31%,3.45%,24.64%,34.25%,52.37%,47.63%,49.12%,50.88%,8592113.40,4499362.80,4092750.60,2449097,2536595,1707354,1228326,1083521,1194817
_mub_,lreop,fwydj,_htc_,kanis,qgvxz,sinakpoerl,20.0480,9.31%,3.45%,24.28%,34.25%,52.48%,47.52%,49.12%,50.88%,8612257.30,4519506.70,4092750.60,2449097,2536595,1707354,1210566,1083521,1194817
_mup_,lreob,wfydj,_htc_,kains,qgvxz,sniakboerl,20.0469,9.31%,3.45%,24.64%,34.25%,51.91%,48.09%,49.12%,50.88%,8595692.30,4462057.10,4133635.20,2449097,2536595,1707354,1228326,1083521,1194817
_mub_,lreop,wfydj,_htc_,kains,qgvxz,sniakpoerl,20.0447,9.31%,3.45%,24.28%,34.25%,52.02%,47.98%,49.12%,50.88%,8615836.20,4482201.00,4133635.20,2449097,2536595,1707354,1210566,1083521,1194817
qfouj,mserp,xvylb,zhtc_,winag,_dk__,ganiwpresm,20.0339,9.41%,5.87%,24.67%,34.52%,54.86%,45.14%,51.43%,48.57%,8206963.60,4502665.40,3704298.20,2563896,2421796,1721182,1230031,1183133,1081377
qfouj,mserp,xvylb,_htc_,winag,zdk__,ganiwpresm,20.0289,9.41%,5.87%,24.69%,34.52%,54.83%,45.17%,51.43%,48.57%,8211330.60,4502665.40,3708665.20,2563896,2421796,1721182,1231017,1183133,1081377
qfouj,pserm,bvylx,khtc_,wanig,zd___,ginawmresp,20.0234,9.41%,5.87%,24.40%,34.52%,54.12%,45.88%,51.43%,48.57%,8231533.30,4455197.50,3776335.80,2563896,2421796,1721182,1216741,1183133,1081377
qfouj,mserp,xvylb,zhtc_,wanig,_dk__,ginawpresm,20.0016,9.41%,5.87%,24.67%,34.52%,54.63%,45.37%,51.43%,48.57%,8241679.60,4502665.40,3739014.20,2563896,2421796,1721182,1230031,1183133,1081377
xfouj,mserp,vyblq,zhtc_,wanig,kd___,ginawpresm,20.0008,9.41%,5.87%,24.81%,34.52%,54.06%,45.94%,51.43%,48.57%,8235745.80,4452461.20,3783284.60,2563896,2421796,1721182,1236749,1183133,1081377
quofx,laesb,_kygz,_phc_,wtinr,_dmvj,"00-00-*",19.9977,0.20%,0.11%,17.37%,44.75%,47.99%,52.01%,50.03%,49.97%,8369233.50,4016517.50,4352716.00,2494155,2491537,2231302,866187,876303,878087
qfouj,mserp,xvylb,_htc_,wanig,zdk__,ginawpresm,19.9967,9.41%,5.87%,24.69%,34.52%,54.60%,45.40%,51.43%,48.57%,8245966.90,4502665.40,3743301.50,2563896,2421796,1721182,1231017,1183133,1081377
qfouj,mserp,bvylx,zhtc_,wanig,kd___,ginawpresm,19.9947,9.41%,5.87%,24.67%,34.52%,54.14%,45.86%,51.43%,48.57%,8249026.80,4465742.20,3783284.60,2563896,2421796,1721182,1230031,1183133,1081377
jfouq,mserp,xvylb,_htc_,wanig,zdk__,ginawpresm,19.9935,9.41%,5.87%,24.69%,34.52%,54.62%,45.38%,51.43%,48.57%,8249413.70,4506112.20,3743301.50,2563896,2421796,1721182,1231017,1183133,1081377
