keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,roll_imbalance,hands_imbalance,row_switch_ratio,switch_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,bigram_switches,row_switch_cost,left_rolls,right_rolls
_dncz,hietg,___vx,wmofj,psaru,qlybk,uraspgteih,19.4146,11.86%,4.74%,25.07%,34.72%,47.02%,52.98%,51.16%,48.84%,8551018.40,4021104.90,4529913.50,2550571,2435121,1731097,1249911,1190395,1064200
_ucdq,maerp,ylvbk,_htw_,fnois,_gzxj,maerpfnois,19.3064,12.12%,3.99%,23.69%,34.54%,55.56%,44.44%,50.98%,49.02%,8914062.50,4952340.00,3961722.50,2541621,2444071,1721917,1180943,1196563,1067212
_xcdq,marep,ykblv,_htu_,fnois,_gzwj,marepfnois,19.2462,9.34%,6.21%,24.19%,34.21%,50.07%,49.93%,48.40%,51.60%,8882083.00,4447144.90,4434938.10,2412951,2572741,1705615,1206271,1084217,1195860
_uofj,caetk,qxyp_,zwhm_,brisl,_ndgv,00-00,19.2420,0.03%,0.04%,16.44%,48.28%,45.44%,54.56%,50.01%,49.99%,8223848.60,3737291.10,4486557.50,2493340,2492352,2406894,819894,789275,789523
_luqb,maerp,ycvdk,_htw_,fnois,_gzxj,maerpfnois,19.2237,12.12%,3.99%,23.97%,34.54%,55.96%,44.04%,50.98%,49.02%,8995308.10,5033585.60,3961722.50,2541621,2444071,1721917,1194941,1196563,1067212
_yck_,sterh,qxwd_,zplf_,gioan,jumbv,naoighrets,19.0447,14.37%,0.07%,20.14%,35.33%,45.53%,54.47%,50.02%,49.98%,9069237.60,4128915.50,4940322.10,2493718,2491974,1761243,1004298,1026147,1198302
qyck_,sterh,_xwd_,_plfz,gioan,jumbv,naoighrets,19.0344,14.37%,0.07%,20.14%,35.33%,45.52%,54.48%,50.02%,49.98%,9081590.30,4133781.70,4947808.60,2493718,2491974,1761243,1004040,1026147,1198302
_duqx,marep,ykblw,_htz_,fions,_cgjv,marepfions,18.9877,9.92%,6.05%,24.39%,34.81%,50.17%,49.83%,48.44%,51.56%,8857178.00,4443294.70,4413883.30,2415031,2570661,1735440,1215852,1066417,1183835
xgnm_,daerb,zykl_,_psu_,ftioh,qcwvj,daerbftioh,18.9491,12.86%,5.82%,24.47%,35.11%,49.79%,50.21%,51.41%,48.59%,8556762.50,4260813.30,4295949.20,2563291,2422401,1750617,1219778,1185070,1050005
_uopf,mresb,_vwgq,xhtd_,kianc,_ljyz,cnaikbserm,18.9115,11.72%,4.81%,24.20%,35.79%,50.42%,49.58%,48.77%,51.23%,8456829.80,4264344.40,4192485.40,2431467,2554225,1784345,1206741,1032136,1169211
_cthj,gnei_,_vxdz,_womf,prasu,qlybk,usarpieng,18.8395,13.34%,5.72%,26.77%,34.87%,46.25%,53.75%,51.39%,48.61%,8581777.00,3969360.20,4612416.80,2562123,2423569,1738522,1334791,1193852,1053318
_hcpj,rsetw,___dx,zvumk,goain,flybq,niaogwtesr,18.6758,13.58%,0.59%,23.97%,35.74%,44.16%,55.84%,49.85%,50.15%,9264142.70,4091155.90,5172986.80,2485464,2500228,1782052,1195306,1021542,1182098
_gnd_,lreay,xvbm_,_htwq,kiosc,jupfz,lreaykiosc,18.6382,15.83%,6.69%,25.47%,34.70%,50.50%,49.50%,51.62%,48.38%,8264621.60,4174035.60,4090586.00,2573523,2412169,1730097,1270040,1210537,1045058
_dng_,laerv,xybm_,jfou_,wtsih,qcpkz,laervwtsih,18.5825,15.83%,6.69%,23.68%,34.70%,50.07%,49.93%,51.62%,48.38%,8419025.40,4215735.40,4203290.00,2573523,2412169,1730097,1180454,1210537,1045058
_dly_,raeng,xvbm_,jfouq,wtsih,_cpkz,raengwtsih,18.3836,15.83%,6.69%,23.36%,34.70%,51.68%,48.32%,51.62%,48.38%,8669536.40,4480385.70,4189150.70,2573523,2412169,1730097,1164891,1210537,1045058
xvuk_,coerf,wpmdb,qhts_,_naig,_lyjz,gianfreoc,18.3618,12.34%,6.67%,25.13%,34.91%,52.72%,47.28%,48.28%,51.72%,8777330.40,4627734.50,4149595.90,2406892,2578800,1740560,1253146,1048728,1196404
_dngx,maerv,jybl_,_uspq,fitoc,_hwkz,maervfitoc,18.3568,17.34%,7.68%,25.14%,34.74%,51.31%,48.69%,51.85%,48.15%,8117781.30,4164989.40,3952791.90,2585075,2400617,1731922,1253372,1216794,1036976
_dngj,maerv,xybl_,_uspq,fitoc,_hwkz,maervfitoc,18.3532,17.34%,7.68%,25.12%,34.74%,51.34%,48.66%,51.85%,48.15%,8122802.00,4170010.10,3952791.90,2585075,2400617,1731922,1252616,1216794,1036976
jmofv,userb,kpylx,qgic_,htand,zw___,dnathbresu,18.3003,14.21%,8.64%,25.22%,34.59%,54.23%,45.77%,52.07%,47.93%,8627512.20,4679020.30,3948491.90,2596121,2389571,1724416,1257205,1205656,1055620
_mhpk,rsetw,___dx,zbufj,goain,vlcyq,niaogwtesr,18.1719,15.51%,1.44%,24.45%,35.65%,44.57%,55.43%,49.64%,50.36%,9184845.30,4093740.20,5091105.10,2474713,2510979,1777551,1218856,1011263,1196878
_lamb,dreny,zgxv_,_psu_,wtoih,jckfq,drenywtoih,18.0411,17.00%,7.24%,24.34%,34.69%,51.49%,48.51%,51.75%,48.25%,8707124.80,4483283.90,4223840.90,2579930,2405762,1729376,1213269,1216519,1039797
_mupq,lreab,xvydj,_htc_,finso,_gwkz,lreabfinso,18.0114,13.41%,10.17%,23.48%,33.93%,47.28%,52.72%,47.32%,52.68%,8520523.70,4028595.00,4491928.70,2359280,2626412,1691472,1170563,1064681,1229539
_cuzj,hetrv,qkys_,_mplb,goani,xdfw_,inaogvrteh,17.9850,13.38%,5.74%,23.19%,35.01%,44.43%,55.57%,48.52%,51.48%,9261351.10,4114923.90,5146427.20,2419156,2566536,1745248,1156241,1039929,1200515
_mofw,laerp,xvby_,qhtc_,ginsu,_dkjz,laerpginsu,17.9306,18.57%,7.52%,21.73%,35.54%,54.71%,45.29%,51.81%,48.19%,8324605.00,4554507.90,3770097.10,2583167,2402525,1771724,1083518,1201051,1012917
_mofw,laerp,xvby_,qhtc_,kinsu,_dgzj,laerpkinsu,17.8580,18.57%,7.52%,22.82%,35.54%,54.49%,45.51%,51.81%,48.19%,8358977.10,4554507.90,3804469.20,2583167,2402525,1771724,1137750,1201051,1012917
_mofw,laerp,xvyb_,qhtc_,kinsu,_dgzj,laerpkinsu,17.8567,18.57%,7.52%,22.82%,35.54%,54.50%,45.50%,51.81%,48.19%,8360591.10,4556121.90,3804469.20,2583167,2402525,1771724,1137750,1201051,1012917
_mofw,laerp,xvby_,qhtc_,kinsu,_dgjz,laerpkinsu,17.8566,18.57%,7.52%,22.82%,35.54%,54.48%,45.52%,51.81%,48.19%,8360723.00,4554507.90,3806215.10,2583167,2402525,1771724,1137750,1201051,1012917
_mofw,laerp,xvyb_,qhtc_,kinsu,_dgjz,laerpkinsu,17.8553,18.57%,7.52%,22.82%,35.54%,54.48%,45.52%,51.81%,48.19%,8362337.00,4556121.90,3806215.10,2583167,2402525,1771724,1137750,1201051,1012917
xmofw,laerp,_vby_,qhtc_,kinsu,_dgzj,laerpkinsu,17.8523,18.57%,7.52%,22.79%,35.54%,54.53%,45.47%,51.81%,48.19%,8367668.80,4563199.60,3804469.20,2583167,2402525,1771724,1136084,1201051,1012917
xmofw,laerp,_vby_,qhtc_,kinsu,_dgjz,laerpkinsu,17.8509,18.57%,7.52%,22.79%,35.54%,54.52%,45.48%,51.81%,48.19%,8369414.70,4563199.60,3806215.10,2583167,2402525,1771724,1136084,1201051,1012917
qmubj,lreop,xfyd_,_htw_,gansi,_cvkz,isnagpoerl,17.8418,15.24%,8.68%,24.32%,33.79%,48.39%,51.61%,47.73%,52.27%,8623448.20,4172602.50,4450845.70,2379742,2605950,1684623,1212391,1055604,1245465
jmubq,lreop,xfyd_,_htw_,gansi,_cvkz,isnagpoerl,17.8402,15.24%,8.68%,24.32%,33.79%,48.40%,51.60%,47.73%,52.27%,8625323.00,4174477.30,4450845.70,2379742,2605950,1684623,1212391,1055604,1245465
juspx,mearb,zydlq,fvog_,wnith,kc___,mearbwnith,17.1016,18.36%,11.94%,25.65%,34.21%,52.57%,47.43%,52.82%,47.18%,8786560.60,4618772.40,4167788.20,2633244,2352448,1705534,1278976,1235945,1044213
_fouq,daeig,zxky_,jvnw_,cstrh,_lmpb,100-00,17.0051,1.70%,3.56%,9.61%,54.19%,43.54%,56.46%,49.09%,50.91%,8412938.20,3663020.00,4749918.20,2447680,2538012,2701499,479264,647508,636685
_hmpj,rsetw,___dx,vuyfk,goain,qlcbz,niaogwtesr,16.9731,18.66%,3.45%,25.54%,35.59%,43.26%,56.74%,49.12%,50.88%,9373629.10,4054683.20,5318945.90,2449058,2536634,1774600,1273435,991816,1219276
_hypj,rsetw,___lx,zvdmk,goain,fucbq,niaogwtesr,16.6343,17.99%,5.25%,24.69%,35.92%,42.94%,57.06%,48.65%,51.35%,9522975.30,4088707.70,5434267.60,2425680,2560012,1790903,1231153,988927,1205862
_xk__,dieag,yfuoq,zjwv_,cntsh,brlpm,100-00-**,16.6200,0.07%,4.05%,8.28%,54.35%,44.34%,55.66%,48.97%,51.03%,9383743.30,4160773.10,5222970.20,2441273,2544419,2709532,412719,637870,638290
zmsbv,uoerf,xpylw,qkdc_,hnait,jg___,tianhfreou,16.5765,18.97%,12.34%,22.35%,34.98%,55.50%,44.50%,52.91%,47.09%,9183958.10,5097179.30,4086778.80,2637711,2347981,1743766,1114504,1218059,1023867
_hcpj,rsetq,___dx,zvumk,goain,wlybf,niaogqtesr,16.1323,20.64%,6.70%,24.77%,35.31%,41.25%,58.75%,48.27%,51.73%,9323706.10,3846409.80,5477296.30,2406504,2579188,1760670,1234902,984467,1240555
_hymq,rsetw,___dx,vcufz,goain,jlkbp,niaogwtesr,15.6290,23.53%,5.67%,25.06%,35.54%,42.81%,57.19%,48.54%,51.46%,9358155.50,4005855.80,5352299.70,2420105,2565587,1771769,1249433,959340,1254583
_hypj,rsetw,___dx,zvumk,goain,flcbq,niaogwtesr,15.0358,25.62%,6.89%,25.88%,34.87%,41.92%,58.08%,48.22%,51.78%,9504599.70,3984582.70,5520017.00,2403930,2581762,1738710,1290147,958452,1288530
