keys_1, keys_2, keys_3, keys_4, keys_5, keys_6, fitness, count_ratio, effort, left_effort, left_effort_ratio, left_count, left_count_ratio, right_effort, right_effort_ratio, right_count, right_count_ratio, bigram_switches, switch_ratio, row_switch_cost, row_switch_ratio
_msuq, lraep, xbvy_, kfocj, wtnih, zdg__, 1.5412, 0.99, 53557189869.40, 27127898485.60, 50.65%, 8585268188, 49.70%, 26429291383.80, 49.35%, 8687742265, 50.30%, 5989545868, 34.68%, 3961375177, 22.93%
qmspx, lreab, _vydz, _htw_, finoc, jugk_, 1.5412, 1.04, 53320309874.90, 27961622807.70, 52.44%, 8787900312, 50.88%, 25358687067.20, 47.56%, 8485110141, 49.12%, 5914391746, 34.24%, 4127803142, 23.90%
_msuq, lreap, xvby_, kfocj, wtinh, zdg__, 1.5412, 0.99, 53558806556.50, 27124257982.40, 50.64%, 8585268188, 49.70%, 26434548574.10, 49.36%, 8687742265, 50.30%, 5989545868, 34.68%, 3961375177, 22.93%
_vsyx, lraep, qbmu_, kfocj, wtinh, zdg__, 1.5411, 0.99, 53375497817.40, 26940949243.30, 50.47%, 8585268188, 49.70%, 26434548574.10, 49.53%, 8687742265, 50.30%, 5989545868, 34.68%, 4095047087, 23.71%
_msuq, lreap, xbvy_, kfocj, wtinh, zdg__, 1.5411, 0.99, 53561476907.40, 27126928333.30, 50.65%, 8585268188, 49.70%, 26434548574.10, 49.35%, 8687742265, 50.30%, 5989545868, 34.68%, 3961375177, 22.93%
_msuq, lraep, xbvy_, kfocj, wtinh, zdg__, 1.5411, 0.99, 53562447059.70, 27127898485.60, 50.65%, 8585268188, 49.70%, 26434548574.10, 49.35%, 8687742265, 50.30%, 5989545868, 34.68%, 3961375177, 22.93%
xmspq, lreab, _vydj, _htw_, finoc, zugk_, 1.5411, 1.04, 53298431985.70, 27973289596.40, 52.48%, 8805425180, 50.98%, 25325142389.30, 47.52%, 8467585273, 49.02%, 5924865421, 34.30%, 4129635942, 23.91%
qcsuk, lnaig, zvbdj, wfom_, pterh, xy___, 1.5409, 1.00, 54198978695.60, 28480742718.10, 52.55%, 8626679322, 49.94%, 25718235977.50, 47.45%, 8646331131, 50.06%, 6145857526, 35.58%, 3440043109, 19.92%
qmspx, lreab, _vydj, _htw_, finoc, zugk_, 1.5409, 1.04, 53305749836.30, 27980607447.00, 52.49%, 8805425180, 50.98%, 25325142389.30, 47.51%, 8467585273, 49.02%, 5924865421, 34.30%, 4129635942, 23.91%
qpsuj, lnaig, zbyd_, _fom_, wreth, _cvkx, 1.5406, 0.95, 53656501576.80, 27672161817.80, 51.57%, 8401892872, 48.64%, 25984339759.00, 48.43%, 8871117581, 51.36%, 6131429120, 35.50%, 3719378768, 21.53%
quspj, laerb, _vymx, _htg_, finoc, zdwk_, 1.5406, 1.00, 53495035908.50, 27174250547.20, 50.80%, 8625028987, 49.93%, 26320785361.30, 49.20%, 8647981466, 50.07%, 5976078597, 34.60%, 4034635651, 23.36%
quspj, laerb, _kymx, _htg_, finoc, zdwv_, 1.5403, 0.98, 53503715533.70, 26791270771.10, 50.07%, 8567914566, 49.60%, 26712444762.60, 49.93%, 8705095887, 50.40%, 6025455871, 34.88%, 3999312622, 23.15%
