keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_palz,msery,_vbdq,_kofx,uitnc,_hwgj,#04 #3 e +0.5,90.935111,28.11%,→000.01%,34.34%,←002.78%,55797378352.12,←000.06%,→000.03%,1.84,→002.30%,1.82,1.86,03.23% │ 09.90% │ 19.12% │ 14.67% │ 03.10%,04.16% │ 12.79% │ 15.40% │ 12.84% │ 04.79%,02.60% │ 09.67% │ 21.86% │ 14.62% │ 01.93%,03.75% │ 11.73% │ 18.05% │ 13.01% │ 02.78%,→032.58% │ →022.89% │ ←024.09% │ ←014.67% │ →025.38%,30.42% │ 49.85% │ 19.73%,←032.19% │ →006.65% │ →022.27%,50.02%,49.98%,50.68%,49.32%,27907414364.07,27889963988.05,8754781088,8518229365,5932374562,2427601899,2427926663,3937095491,3938429602
qpofx,ulerm,vybdk,_htc_,_inas,_gwjz,#35 #34 r: +0.1,88.532874,26.48%,←010.04%,33.60%,→002.75%,56697449951.57,←000.54%,→004.34%,1.86,→001.42%,1.85,1.88,05.88% │ 09.15% │ 18.01% │ 11.88% │ 05.22%,00.00% │ 14.73% │ 14.73% │ 12.41% │ 07.99%,03.96% │ 08.12% │ 21.15% │ 12.54% │ 03.54%,06.58% │ 11.83% │ 17.98% │ 14.32% │ 00.00%,→026.36% │ →026.28% │ ←022.23% │ →019.39% │ ·000.00%,33.50% │ 49.66% │ 16.84%,→029.44% │ →004.10% │ ←145.58%,50.14%,49.86%,49.30%,50.70%,28425711914.73,28271738036.84,8516169264,8756841189,5804141372,2396182790,2177509230,3913039064,4090719219
xpalj,mserb,qykc_,_fow_,uitnd,zhgv_,#mserbuitnd,86.004291,26.19%,←000.06%,35.66%,←000.61%,55046030616.57,→000.00%,→000.19%,1.79,→000.63%,1.79,1.80,03.86% │ 11.36% │ 17.80% │ 14.40% │ 02.58%,04.37% │ 14.60% │ 15.53% │ 10.67% │ 04.83%,02.90% │ 10.30% │ 20.99% │ 14.12% │ 01.85%,03.82% │ 10.26% │ 18.41% │ 14.45% │ 02.91%,→020.08% │ ←006.53% │ ←014.55% │ →001.35% │ →040.95%,31.50% │ 49.97% │ 18.53%,←040.39% │ →012.11% │ →020.14%,50.00%,50.00%,50.15%,49.85%,27522527531.40,27523503085.17,8662773654,8610236799,6160411013,2262686510,2261395689,3820181108,3827307534
_usp_,caerk,_ywlx,jfomz,bitnd,_hgvq,#56 #54 ms: 0.4,82.366666,24.27%,←000.02%,37.72%,←000.27%,53880446153.75,←000.16%,←002.27%,1.73,←001.45%,1.74,1.72,04.29% │ 14.11% │ 16.62% │ 13.50% │ 01.51%,02.61% │ 14.71% │ 15.63% │ 11.70% │ 05.31%,03.33% │ 12.75% │ 20.11% │ 12.94% │ 00.94%,04.05% │ 11.17% │ 18.41% │ 14.45% │ 01.85%,→019.15% │ ←020.57% │ ←006.32% │ →008.21% │ →041.93%,29.35% │ 49.79% │ 20.86%,→010.27% │ ←004.49% │ ←005.66%,50.04%,49.96%,50.07%,49.93%,26961736957.08,26918709196.67,8648346645,8624663808,6514930158,2096464137,2096128942,3687339256,3605630241
_bpmz,noerd,xvgfk,ylsuq,ctaih,jw___,#noerdctaih!,72.193383,19.22%,→000.29%,35.42%,←000.49%,57744681570.47,→000.39%,←000.16%,1.80,→000.26%,1.80,1.80,09.26% │ 10.03% │ 13.30% │ 10.40% │ 06.92%,07.72% │ 14.07% │ 11.73% │ 10.55% │ 06.02%,07.68% │ 10.26% │ 16.17% │ 11.32% │ 04.70%,04.78% │ 10.37% │ 14.72% │ 14.75% │ 05.26%,←053.66% │ →004.91% │ ←013.39% │ →026.12% │ →010.39%,26.31% │ 62.92% │ 10.77%,→059.75% │ ←016.51% │ ←272.72%,49.90%,50.10%,50.12%,49.88%,28816560830.69,28928120739.78,8657734575,8615275878,6118552061,1657357799,1662200074,3847822158,3841525436
_wof_,uaerm,_kydq,xhtcz,binsl,jgpv_,#54 #52 sw: 0.2,70.294049,19.45%,←001.79%,40.62%,→000.15%,52827409739.55,→004.53%,←001.04%,1.65,←000.77%,1.65,1.64,03.93% │ 11.05% │ 16.95% │ 12.71% │ 04.19%,02.87% │ 15.91% │ 15.08% │ 11.37% │ 05.93%,02.78% │ 10.71% │ 21.23% │ 12.54% │ 02.70%,04.40% │ 10.85% │ 18.43% │ 14.32% │ 02.04%,→033.79% │ →002.82% │ ←012.46% │ →020.07% │ ←045.94%,33.65% │ 50.72% │ 15.63%,→036.79% │ ←016.95% │ ←018.18%,48.84%,51.16%,49.96%,50.04%,25801276139.83,27026133599.72,8629992269,8643018184,7015964841,1695056907,1665176841,3413492627,3378442187
_usqz,hfaed,vcjlk,mntgb,wirop,xy___,#hfaedwirop,57.703956,25.19%,←000.01%,40.39%,←000.12%,61341232938.54,←000.01%,←000.18%,1.65,←000.03%,1.65,1.65,07.02% │ 09.09% │ 11.02% │ 16.52% │ 06.34%,06.35% │ 18.09% │ 11.19% │ 09.28% │ 05.09%,05.76% │ 08.29% │ 14.95% │ 16.34% │ 04.70%,03.77% │ 09.61% │ 15.32% │ 16.78% │ 04.49%,←038.06% │ →002.05% │ →001.47% │ →008.67% │ →000.14%,36.70% │ 48.82% │ 14.48%,→062.34% │ ←034.06% │ ←384.30%,50.00%,50.00%,50.03%,49.97%,30671696411.26,30669536527.28,8641885657,8631124796,6975952787,2175916240,2175640608,3419006016,3412940852
_usmq,paerv,zyblx,jfoc_,kitnd,_hwg_,#32 #25 ms: +1.0,56.463601,27.41%,→003.71%,34.66%,→000.67%,55292095107.82,←000.01%,←002.34%,1.83,←002.50%,1.85,1.81,03.06% │ 13.97% │ 17.40% │ 13.54% │ 02.03%,01.46% │ 14.82% │ 15.00% │ 13.96% │ 04.76%,02.28% │ 12.75% │ 20.04% │ 13.40% │ 01.37%,03.82% │ 12.87% │ 18.05% │ 14.45% │ 00.98%,→035.67% │ ←000.07% │ ←016.00% │ →008.62% │ ←039.06%,30.50% │ 47.86% │ 21.64%,→008.30% │ ←007.05% │ →002.77%,50.00%,50.00%,49.83%,50.17%,27647363345.81,27644731762.01,8607504119,8665506334,5986356680,2322222892,2411603398,3955938056,3865604919
_pal_,mserb,qvyd_,juof_,kitnc,xhwgz,#33 #25 ms: +1.5,54.684444,28.25%,→004.23%,34.35%,←002.25%,55431695869.22,→000.01%,→001.01%,1.84,→002.68%,1.81,1.86,03.42% │ 09.97% │ 19.62% │ 14.79% │ 02.20%,01.77% │ 15.45% │ 15.53% │ 12.90% │ 04.34%,02.70% │ 09.67% │ 21.94% │ 14.62% │ 01.62%,03.46% │ 11.73% │ 18.05% │ 15.05% │ 01.17%,→021.17% │ →022.76% │ ←026.33% │ →004.29% │ ←023.93%,32.86% │ 46.51% │ 20.63%,←008.59% │ ←003.26% │ →018.52%,50.00%,50.00%,50.56%,49.44%,27714148954.41,27717546914.81,8732545157,8540465296,5933577570,2387102884,2492655081,3917081331,3957240754
_palx,gnerw,qkyd_,_focj,bitsu,_hmvz,#02 #1 ms +0.5,49.187376,28.17%,→000.02%,36.05%,←003.99%,54421532597.52,→000.66%,←007.66%,1.78,←002.75%,1.81,1.76,02.90% │ 10.50% │ 18.80% │ 15.04% │ 02.59%,02.24% │ 14.90% │ 17.04% │ 11.32% │ 04.67%,02.15% │ 10.38% │ 21.94% │ 14.62% │ 01.88%,03.14% │ 10.85% │ 18.96% │ 14.45% │ 01.62%,→037.89% │ →007.24% │ ←010.35% │ ←000.96% │ ←015.72%,33.62% │ 46.25% │ 20.13%,←007.38% │ ←003.10% │ →019.99%,49.83%,50.17%,50.98%,49.02%,27120493456.41,27301039141.11,8805384197,8467626256,6226730208,2432577759,2433055951,3930473605,3650695842
zpofx,waerk,_yudj,_gnl_,bitsc,qhmv_,#41 #40 ms: +0.3,49.087533,23.50%,←000.17%,41.08%,→000.18%,52739704915.89,→002.95%,←000.36%,1.64,←000.34%,1.64,1.63,02.45% │ 13.07% │ 18.87% │ 12.97% │ 01.89%,02.42% │ 15.43% │ 15.88% │ 12.76% │ 04.27%,01.82% │ 12.12% │ 22.31% │ 12.54% │ 01.17%,03.33% │ 11.79% │ 18.89% │ 14.32% │ 01.72%,→042.53% │ ←002.49% │ ←018.83% │ →015.95% │ →021.74%,30.44% │ 46.56% │ 23.00%,→009.05% │ →005.07% │ ←010.60%,49.25%,50.75%,49.96%,50.04%,25975502558.79,26764202357.10,8628879280,8644131173,7095061161,2031401022,2028042460,3362441928,3350396566
xmgy_,noerd,qfck_,buspj,latih,zwv__,hitaldreon,46.753078,18.10%,←000.56%,36.69%,←001.14%,57940326464.47,→001.67%,→000.35%,1.76,→001.12%,1.75,1.77,09.42% │ 13.44% │ 13.70% │ 07.52% │ 05.50%,08.95% │ 12.89% │ 12.58% │ 09.76% │ 06.24%,07.78% │ 12.35% │ 17.35% │ 08.98% │ 03.82%,04.91% │ 09.73% │ 16.32% │ 12.74% │ 06.02%,←050.90% │ ←037.77% │ ←008.91% │ →041.69% │ →038.56%,23.97% │ 64.27% │ 11.76%,→046.15% │ ←005.27% │ ←133.02%,49.58%,50.42%,50.28%,49.72%,28726256858.00,29214069606.47,8685253847,8587756606,6337533040,1567715087,1559035452,3728607895,3741758720
zfucq,saerm,xvkd_,_htw_,pinol,jgby_,#06 #4 r +0.75,46.403933,19.27%,←000.13%,38.65%,←000.72%,54894952539.83,→000.01%,←000.09%,1.70,→000.44%,1.70,1.71,08.77% │ 11.78% │ 12.07% │ 13.55% │ 03.84%,03.21% │ 14.86% │ 14.11% │ 12.38% │ 05.43%,06.77% │ 11.53% │ 15.49% │ 13.68% │ 02.70%,04.27% │ 10.96% │ 17.90% │ 14.32% │ 02.38%,←061.38% │ →004.90% │ →014.50% │ →008.85% │ ←019.59%,27.22% │ 57.89% │ 14.88%,→036.52% │ ←023.16% │ ←000.95%,50.00%,50.00%,50.18%,49.82%,27446591402.34,27448361137.49,8667433083,8605577370,6676767789,1665045000,1662907143,3567211276,3563920590
_uofj,maerk,_vylx,qdng_,bitsc,_hwpz,#30 #25 ms: +0.3,41.978028,22.74%,←016.57%,39.06%,←000.46%,53034743538.75,→000.49%,←014.86%,1.69,←009.69%,1.77,1.62,03.58% │ 13.29% │ 17.54% │ 13.59% │ 01.87%,02.33% │ 17.51% │ 14.60% │ 11.21% │ 04.47%,02.60% │ 12.13% │ 21.23% │ 12.98% │ 01.17%,03.46% │ 10.64% │ 17.98% │ 16.09% │ 01.72%,→019.88% │ ←018.51% │ ←020.14% │ →022.37% │ →019.61%,30.81% │ 47.83% │ 21.36%,→001.13% │ ←003.24% │ →007.51%,49.88%,50.12%,50.11%,49.89%,26452070718.13,26582672820.62,8656237435,8616773018,6746391470,2114553069,1813957725,3774900517,3286607668
_uofq,daerw,_kylx,jgnv_,bitsc,_hmpz,#23 #00 ms: +0.4,39.802593,21.82%,←008.70%,40.15%,←007.54%,52543852290.53,←007.98%,←020.80%,1.66,←007.95%,1.72,1.60,05.14% │ 12.82% │ 17.19% │ 13.80% │ 02.97%,02.62% │ 15.27% │ 15.86% │ 09.81% │ 04.51%,03.82% │ 11.80% │ 21.23% │ 12.98% │ 01.98%,03.46% │ 09.67% │ 18.89% │ 14.32% │ 01.85%,←013.86% │ ←030.60% │ ←008.35% │ →009.62% │ ←013.37%,27.38% │ 50.36% │ 22.26%,←026.51% │ ←013.80% │ →021.05%,51.92%,48.08%,51.82%,48.18%,27279731238.77,25264121051.76,8950385552,8322624901,6935353634,1962990969,1805910264,3759998051,3112547970
xpal_,userk,_vydq,jfom_,bitnc,_hwgz,#53 #50 ms: 0.5,38.734148,26.83%,←000.52%,35.98%,←000.20%,54461888341.34,→001.35%,←000.54%,1.78,←000.26%,1.79,1.78,04.09% │ 10.40% │ 18.70% │ 15.21% │ 01.26%,02.58% │ 14.81% │ 15.50% │ 13.11% │ 04.34%,02.97% │ 09.67% │ 21.94% │ 14.62% │ 00.85%,03.46% │ 12.14% │ 18.05% │ 14.45% │ 01.85%,→005.80% │ →020.69% │ ←020.68% │ ←002.70% │ →051.14%,33.01% │ 46.51% │ 20.48%,←012.42% │ →003.39% │ →016.22%,49.66%,50.34%,50.05%,49.95%,27046202696.15,27415685645.19,8645014898,8627995555,6215353415,2323441249,2311391812,3806407275,3786138965
pmofu,gnerd,___kq,blawy,ctish,zvjx_,hsitcdreng,36.918371,17.85%,←000.31%,35.28%,→000.06%,58368969516.83,→001.81%,←002.76%,1.81,←002.28%,1.83,1.79,06.30% │ 09.78% │ 14.27% │ 08.80% │ 10.39%,07.06% │ 13.01% │ 14.05% │ 07.39% │ 08.95%,04.20% │ 10.09% │ 19.53% │ 09.46% │ 06.70%,06.38% │ 08.33% │ 16.09% │ 14.14% │ 05.08%,→029.59% │ ←032.46% │ ←001.51% │ →032.37% │ ←047.30%,42.99% │ 53.89% │ 03.12%,←001.25% │ →000.88% │ →046.25%,49.54%,50.46%,49.98%,50.02%,28918279177.84,29450690338.99,8633728316,8639282137,6093938965,1543899818,1539077235,3909530211,3804430479
__kxj,noerd,fbumg,vylpq,hitas,zcw__,#noerdhitas,33.750777,18.41%,←000.60%,35.47%,→000.88%,58875959036.97,→000.55%,←000.42%,1.80,←001.04%,1.81,1.79,12.47% │ 08.64% │ 11.42% │ 08.04% │ 09.29%,09.03% │ 12.59% │ 10.65% │ 10.23% │ 07.63%,09.68% │ 09.18% │ 15.49% │ 09.32% │ 06.10%,06.55% │ 10.42% │ 14.75% │ 12.62% │ 05.89%,←063.41% │ →015.56% │ ←007.26% │ →036.15% │ ←002.86%,12.39% │ 65.78% │ 21.83%,→087.38% │ →000.82% │ ←157.31%,49.86%,50.14%,49.78%,50.22%,29357526775.12,29518432261.85,8598457918,8674552535,6127174139,1594652148,1585143428,3848339356,3832386160
_jpmq,haerl,ybfgw,kocuz,ditns,vx___,#haerlditns,30.686642,18.72%,←000.33%,37.01%,←000.19%,59540707736.55,←000.33%,←000.22%,1.75,←000.02%,1.75,1.75,08.26% │ 10.30% │ 13.28% │ 09.85% │ 08.40%,08.11% │ 15.55% │ 07.98% │ 10.44% │ 07.84%,06.38% │ 10.12% │ 16.30% │ 11.18% │ 06.06%,06.58% │ 10.27% │ 12.12% │ 15.34% │ 05.65%,←005.35% │ →001.31% │ ←066.30% │ →036.63% │ ←003.52%,23.17% │ 62.62% │ 14.22%,→067.97% │ ←006.56% │ ←491.69%,50.08%,49.92%,50.05%,49.95%,29819639296.27,29721068440.28,8644634420,8628376033,6392259637,1619498512,1614095714,3711889103,3703750915
zwfk_,caerl,qyus_,xhtp_,ginod,jmbv_,#doniglreac,29.797933,17.58%,→000.04%,39.35%,←000.58%,54758094038.63,→000.07%,←000.10%,1.68,→000.33%,1.68,1.69,04.64% │ 12.47% │ 12.81% │ 13.82% │ 06.26%,03.70% │ 15.77% │ 14.01% │ 11.80% │ 04.73%,03.56% │ 11.66% │ 16.93% │ 13.72% │ 04.27%,03.82% │ 10.78% │ 17.90% │ 14.87% │ 02.47%,→001.99% │ ←005.60% │ →008.59% │ →012.36% │ ←068.90%,23.13% │ 55.20% │ 21.68%,→067.50% │ ←017.18% │ ←103.26%,49.98%,50.02%,50.15%,49.85%,27369776262.76,27388317775.87,8661573378,8611437075,6796993117,1517681321,1518289371,3507215962,3503690576
zw___,henal,pfmdk,xjcvq,sitor,_ugyb,#henalsitor,28.843688,17.44%,→000.21%,40.10%,←000.00%,59623237418.38,←000.19%,→000.19%,1.66,→000.13%,1.66,1.66,08.74% │ 16.80% │ 05.85% │ 11.78% │ 06.87%,08.78% │ 09.88% │ 10.37% │ 10.56% │ 10.35%,06.95% │ 15.85% │ 10.09% │ 12.09% │ 05.01%,08.25% │ 10.34% │ 14.17% │ 10.60% │ 06.64%,→015.59% │ ←059.11% │ →043.58% │ ←019.25% │ →021.74%,07.55% │ 67.18% │ 25.27%,→060.33% │ →000.90% │ ←033.89%,50.05%,49.95%,50.00%,50.00%,29840642428.62,29782594989.76,8636687076,8636323377,6927107495,1504765206,1508002555,3437144047,3443648113
_usp_,daerk,qybl_,_fomj,gitnc,xhwvz,#58 #55 rw: 0.1,27.443678,25.56%,→000.90%,35.55%,←001.61%,54743314377.37,←000.03%,←000.29%,1.80,→001.04%,1.79,1.81,05.06% │ 13.81% │ 16.80% │ 13.25% │ 01.08%,03.38% │ 15.01% │ 15.34% │ 11.54% │ 04.73%,03.92% │ 12.75% │ 20.04% │ 12.94% │ 00.75%,03.69% │ 11.17% │ 18.05% │ 14.45% │ 02.24%,←007.12% │ ←019.70% │ ←009.48% │ →011.68% │ →068.00%,29.30% │ 50.23% │ 20.47%,→009.34% │ ←004.22% │ ←004.11%,50.01%,49.99%,50.40%,49.60%,27375637540.49,27367676836.88,8705655409,8567355044,6140085072,2197271843,2217180521,3839501906,3828312677
xzf__,noerd,pgmuj,qylb_,hitas,kcwv_,satihdreon,25.558894,18.55%,←000.46%,35.20%,→001.24%,58275266371.09,→001.86%,←000.77%,1.81,←001.64%,1.82,1.79,12.75% │ 09.95% │ 12.45% │ 08.51% │ 05.87%,08.47% │ 12.74% │ 10.70% │ 11.00% │ 07.57%,09.83% │ 09.74% │ 16.76% │ 09.31% │ 04.05%,06.45% │ 10.97% │ 14.75% │ 12.62% │ 05.53%,←068.43% │ →009.49% │ ←016.36% │ →033.21% │ →030.63%,11.51% │ 66.12% │ 22.37%,→066.95% │ →000.82% │ ←059.44%,49.53%,50.47%,49.69%,50.31%,28863857099.74,29411409271.35,8582703550,8690306903,6080550362,1605871073,1598594208,3878449820,3848899473
_uofq,gieak,_xyd_,jmrp_,bstnc,zhlwv,#20 #00 ms: +0.1,24.465007,15.34%,→002.56%,54.34%,→004.04%,50559263428.02,→011.22%,→000.04%,1.34,←001.42%,1.35,1.33,02.82% │ 11.31% │ 16.85% │ 14.72% │ 01.34%,02.96% │ 14.95% │ 17.61% │ 11.20% │ 06.25%,02.05% │ 10.56% │ 21.23% │ 14.28% │ 00.85%,04.41% │ 11.33% │ 19.59% │ 13.73% │ 01.98%,→054.94% │ ←001.04% │ →004.36% │ →001.55% │ →054.85%,29.35% │ 46.17% │ 24.48%,←013.36% │ ←005.12% │ →053.46%,47.03%,52.97%,48.97%,51.03%,23777509466.94,26781753961.08,8458236290,8814774163,9386115325,1307525191,1341834451,2210460073,2211324257
_uof_,gieak,_xydq,jmrp_,bstnc,zhlwv,#50,24.271810,15.52%,→000.27%,54.34%,→004.04%,50582857392.43,→011.13%,→000.04%,1.34,←001.42%,1.35,1.33,02.82% │ 11.36% │ 16.84% │ 14.71% │ 01.33%,02.96% │ 14.94% │ 17.61% │ 11.19% │ 06.25%,02.05% │ 10.56% │ 21.23% │ 14.28% │ 00.85%,04.41% │ 11.33% │ 19.59% │ 13.73% │ 01.98%,→054.94% │ ←001.52% │ →004.36% │ →001.55% │ →055.10%,29.20% │ 46.15% │ 24.65%,←012.37% │ ←005.12% │ →052.37%,47.05%,52.95%,48.97%,51.03%,23801103431.35,26781753961.08,8458236290,8814774163,9386115325,1338219853,1341834451,2210460073,2211324257
qmupk,hretc,_vydz,bfowj,lnias,__xg_,hretclnias,23.796834,16.55%,←000.09%,37.39%,←001.65%,57046564396.44,←000.71%,→000.55%,1.74,→001.60%,1.73,1.76,05.97% │ 10.16% │ 14.97% │ 13.34% │ 05.74%,08.68% │ 07.76% │ 12.77% │ 12.36% │ 08.25%,04.78% │ 10.21% │ 16.45% │ 14.76% │ 04.20%,06.68% │ 12.01% │ 15.34% │ 09.68% │ 05.89%,→027.67% │ →017.81% │ ←017.31% │ ←071.79% │ →033.88%,25.66% │ 63.14% │ 11.21%,→034.86% │ ←002.55% │ ←159.76%,50.18%,49.82%,50.41%,49.59%,28624763976.72,28421800419.72,8707116483,8565893970,6457569108,1430282160,1429017866,3665104073,3685226474
_uof_,saerk,_xyd_,jplmq,bitnc,zhwgv,#22 #00 ms: +0.3,20.694620,18.27%,←006.49%,42.57%,←009.23%,51926272332.63,←005.46%,←018.30%,1.60,←004.86%,1.63,1.56,08.86% │ 11.59% │ 16.77% │ 12.95% │ 01.16%,02.91% │ 15.99% │ 10.70% │ 12.75% │ 06.32%,06.45% │ 11.24% │ 21.23% │ 12.54% │ 00.75%,04.50% │ 12.14% │ 14.75% │ 14.41% │ 01.98%,←040.11% │ →009.08% │ ←056.74% │ →018.99% │ →060.29%,26.45% │ 52.58% │ 20.97%,←033.03% │ ←019.25% │ →042.77%,51.33%,48.67%,52.21%,47.79%,26653657686.25,25272614646.38,9017593409,8255417044,7352950901,1627368865,1528204600,3498018330,2956930424
_zmkq,naerd,vbgfw,puloj,citsh,xy___,#naerdcitsh!,18.370081,17.30%,←000.05%,36.84%,←001.15%,58544290698.17,→000.32%,←000.01%,1.76,→000.85%,1.75,1.77,10.64% │ 09.67% │ 13.60% │ 07.83% │ 08.18%,08.13% │ 11.56% │ 08.63% │ 15.43% │ 06.33%,08.57% │ 10.02% │ 16.62% │ 09.46% │ 05.61%,04.91% │ 14.01% │ 13.06% │ 12.07% │ 05.67%,←068.01% │ →037.37% │ ←057.67% │ →032.29% │ ←000.65%,25.71% │ 60.09% │ 14.19%,→082.25% │ ←032.84% │ ←382.63%,49.92%,50.08%,50.28%,49.72%,29224574824.97,29319715873.20,8685684773,8587325680,6362979756,1494499460,1493707945,3722713660,3722206239
_vmfp,haerc,ybgwz,uodqx,litns,kj___,#haerclitns,16.933087,19.34%,←000.01%,37.78%,→000.06%,60509994862.52,→000.28%,→000.43%,1.73,→000.27%,1.73,1.73,08.19% │ 11.14% │ 14.07% │ 09.02% │ 07.51%,11.37% │ 15.46% │ 08.45% │ 06.90% │ 07.89%,06.38% │ 10.97% │ 16.62% │ 10.41% │ 05.60%,06.64% │ 07.59% │ 12.62% │ 15.38% │ 07.79%,←003.70% │ ←061.37% │ ←066.61% │ →041.62% │ →033.97%,27.70% │ 61.81% │ 10.48%,→048.10% │ ←003.49% │ ←520.25%,49.93%,50.07%,49.98%,50.02%,30212154720.35,30297840142.17,8633755197,8639255256,6525299245,1670227923,1670138192,3633402180,3649198230
qyouk,dieag,___x_,mlrpb,ctnsh,jwfvz,#09 #0 r +2,13.299860,7.90%,→014.99%,55.99%,→012.10%,51885712690.76,→024.72%,→020.53%,1.31,→003.11%,1.29,1.33,05.32% │ 08.85% │ 13.81% │ 10.54% │ 04.44%,09.47% │ 15.14% │ 12.72% │ 09.97% │ 09.75%,03.92% │ 09.29% │ 19.53% │ 11.24% │ 02.80%,06.43% │ 09.67% │ 16.20% │ 14.75% │ 06.16%,→045.48% │ →011.26% │ ←008.57% │ →030.44% │ →053.10%,38.65% │ 54.05% │ 07.31%,→032.81% │ ←001.10% │ →096.52%,42.95%,57.05%,46.78%,53.22%,22284505705.22,29601206985.54,8080589764,9192420689,9670808804,626842421,737338554,1831871747,2305219104
_upkx,saerm,jyfl_,_htcz,winod,qgbv_,#11 #10 ms+0.25!,12.949287,20.31%,→000.19%,36.99%,←000.28%,55206272617.59,→000.17%,←000.42%,1.75,←000.10%,1.75,1.75,08.70% │ 13.90% │ 12.17% │ 11.14% │ 04.05%,02.42% │ 15.27% │ 13.96% │ 13.45% │ 04.95%,06.68% │ 12.75% │ 16.30% │ 11.54% │ 02.80%,03.95% │ 11.97% │ 17.90% │ 14.32% │ 01.79%,←075.89% │ ←003.35% │ →012.83% │ →027.04% │ ←067.35%,26.75% │ 56.26% │ 16.99%,→059.32% │ ←025.14% │ ←081.26%,49.96%,50.04%,50.07%,49.93%,27579086620.67,27627185996.92,8648546216,8624464237,6388662007,1752509860,1755857006,3717349923,3701887725
qpou_,cieak,_gyw_,zmrf_,vstnd,xhlbj,#25 #00 b: +0.3,12.732869,15.15%,←026.97%,54.01%,→000.27%,51044119390.79,←000.15%,←022.53%,1.35,←007.45%,1.40,1.30,04.79% │ 12.95% │ 17.71% │ 13.39% │ 01.21%,02.07% │ 14.38% │ 16.77% │ 11.03% │ 05.72%,03.43% │ 11.78% │ 21.23% │ 12.74% │ 00.75%,04.05% │ 11.30% │ 19.59% │ 13.73% │ 01.40%,→016.24% │ ←017.36% │ ←005.61% │ →006.90% │ →041.59%,29.28% │ 48.52% │ 22.20%,←018.57% │ ←019.01% │ →045.98%,50.04%,49.96%,49.93%,50.07%,25540807290.79,25503312100.00,8624803527,8648206926,9329512655,1463930834,1152994241,2465917459,2012469541
_gofz,uaerx,_kys_,jplm_,bitnd,qhwcv,#21 #00 ms: +0.2,8.369054,19.88%,←025.64%,43.45%,←002.28%,51773182166.36,→004.03%,←007.98%,1.57,←003.16%,1.60,1.55,03.97% │ 11.22% │ 16.60% │ 16.62% │ 00.56%,02.85% │ 16.04% │ 10.80% │ 14.32% │ 07.01%,02.78% │ 11.07% │ 21.23% │ 15.16% │ 00.32%,04.90% │ 13.42% │ 14.75% │ 14.41% │ 01.95%,→043.38% │ →021.68% │ ←053.71% │ ←003.63% │ →080.38%,25.24% │ 47.87% │ 26.89%,←024.88% │ →008.72% │ →018.03%,48.97%,51.03%,50.56%,49.44%,25354614367.54,26418567798.82,8733702851,8539307602,7505240038,1912031364,1521872475,3272172442,3030487175
_pofq,uiea_,xkyg_,jdnl_,bstrc,zhmwv,#01 #0 rwi +0.5,7.716848,15.22%,→000.13%,55.06%,→010.28%,50606911129.63,→019.04%,→013.26%,1.33,→001.11%,1.32,1.34,04.47% │ 11.00% │ 16.59% │ 12.49% │ 00.19%,02.95% │ 16.39% │ 15.89% │ 13.73% │ 06.30%,02.97% │ 10.48% │ 21.23% │ 12.51% │ 00.10%,04.41% │ 12.49% │ 18.89% │ 14.95% │ 01.98%,→029.11% │ →019.85% │ ←004.36% │ →023.77% │ →093.61%,33.32% │ 45.89% │ 20.78%,→022.75% │ ←005.06% │ →052.39%,44.74%,55.26%,47.29%,52.71%,22641307605.54,27965603524.09,8168596080,9104414373,9510512498,1313323865,1315061163,1996178825,2301208332
_gouq,cieak,_xyd_,vmrp_,bstnl,zhwfj,#24 #00 b: +0.2,7.623152,15.13%,←030.75%,54.04%,←000.44%,50783112426.19,→002.00%,←022.76%,1.35,←007.24%,1.40,1.30,04.61% │ 10.06% │ 17.52% │ 15.89% │ 01.41%,04.41% │ 14.55% │ 13.53% │ 11.83% │ 06.19%,03.33% │ 09.83% │ 21.23% │ 14.87% │ 00.85%,04.50% │ 11.82% │ 17.02% │ 13.73% │ 02.83%,→025.49% │ →014.94% │ ←029.49% │ ←009.25% │ →068.07%,31.00% │ 49.51% │ 19.50%,←003.00% │ ←010.46% │ →033.54%,49.50%,50.50%,50.11%,49.89%,25135236315.45,25647876110.74,8655438968,8617571485,9335016811,1481066756,1132728547,2464956010,2007926834
