keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_gubk,rneod,_vwfz,_ylcq,sitah,_pmxj,hatisdoenr,594.746049,18.41%,←001.50%,35.83%,→001.39%,58310208156.82,→002.41%,→001.48%,1.79,→000.07%,1.79,1.79,07.99% │ 10.38% │ 13.14% │ 11.02% │ 06.86%,08.55% │ 10.91% │ 12.37% │ 12.17% │ 06.61%,06.53% │ 10.62% │ 16.44% │ 11.37% │ 04.70%,05.01% │ 11.79% │ 15.67% │ 11.44% │ 06.45%,←020.91% │ →014.73% │ ←006.20% │ ←001.00% │ →019.73%,19.82% │ 67.42% │ 12.76%,→017.77% │ ←002.22% │ →000.44%,49.39%,50.61%,49.65%,50.35%,28799074281.89,29511133874.93,8576217918,8696792535,6188199054,1601842155,1578098839,3781483618,3838216983
qpsu_,daerl,kyzw_,vfomj,cinth,xgb__,daerlcinth,550.175912,18.65%,←000.81%,36.77%,←002.43%,56282737731.22,→001.24%,←000.57%,1.76,→001.39%,1.75,1.77,06.23% │ 12.65% │ 14.34% │ 10.31% │ 06.16%,06.68% │ 11.74% │ 14.93% │ 10.28% │ 06.68%,04.67% │ 12.12% │ 18.54% │ 11.00% │ 04.27%,04.91% │ 11.40% │ 16.67% │ 11.82% │ 04.60%,→006.66% │ ←023.00% │ →003.95% │ →012.24% │ →007.75%,30.27% │ 59.06% │ 10.68%,→019.52% │ ←005.16% │ ←024.46%,49.69%,50.31%,50.60%,49.40%,27965756688.85,28316981042.37,8740210056,8532800397,6351158624,1616933748,1603910888,3738918635,3717822396
jpumg,onerd,_zxf_,qylb_,hitas,kcwv_,satihdreno,550.160954,18.55%,←000.46%,35.20%,→001.24%,58275509672.15,→001.86%,←000.77%,1.81,←001.64%,1.82,1.79,09.63% │ 09.53% │ 10.17% │ 11.18% │ 09.02%,08.47% │ 12.74% │ 10.70% │ 11.00% │ 07.57%,07.79% │ 09.76% │ 14.94% │ 11.32% │ 05.87%,06.45% │ 10.97% │ 14.75% │ 12.62% │ 05.53%,←027.30% │ →013.36% │ →004.96% │ →012.25% │ ←006.56%,21.94% │ 66.22% │ 11.84%,←053.62% │ →000.53% │ →062.65%,49.53%,50.47%,49.69%,50.31%,28864100400.80,29411409271.35,8582703550,8690306903,6080550362,1605871073,1598594208,3878449820,3848899473
kpum_,doenr,zxwf_,jylb_,hitas,qgcv_,satihrneod!,546.360332,17.62%,←000.61%,36.49%,→000.62%,57782220877.05,→000.97%,←000.27%,1.77,←000.69%,1.77,1.76,06.19% │ 09.82% │ 13.14% │ 11.22% │ 09.38%,07.52% │ 10.92% │ 13.21% │ 11.00% │ 07.59%,04.70% │ 09.90% │ 16.44% │ 12.28% │ 06.53%,06.45% │ 10.97% │ 16.39% │ 11.34% │ 05.01%,→018.39% │ →010.71% │ →000.51% │ ←002.68% │ ←024.71%,19.41% │ 67.38% │ 13.21%,←015.99% │ ←003.61% │ →038.22%,49.76%,50.24%,49.85%,50.15%,28750037297.61,29032183579.44,8609738045,8663272408,6303292786,1526606268,1517363058,3757426131,3747180738
zgumv,hterd,_kwc_,xfopj,sainl,qyb__,hterdsainl,516.982204,16.04%,→001.32%,38.39%,←000.81%,56931810253.68,→000.90%,→001.90%,1.71,→001.92%,1.69,1.73,06.58% │ 10.04% │ 14.95% │ 11.41% │ 06.80%,09.30% │ 11.44% │ 14.31% │ 09.36% │ 05.81%,04.81% │ 11.59% │ 16.44% │ 12.46% │ 04.90%,04.50% │ 09.64% │ 16.77% │ 12.16% │ 06.74%,←013.22% │ ←007.23% │ ←004.42% │ →000.26% │ →026.88%,24.48% │ 64.24% │ 11.29%,→026.24% │ ←002.68% │ ←053.91%,49.77%,50.23%,50.20%,49.80%,28337532463.17,28594277790.51,8671251280,8601759173,6631309744,1376267102,1394681813,3553885641,3622704270
qpumv,hterd,zkyc_,bfowj,lians,xg___,hterdlians,452.219821,16.57%,←000.34%,37.39%,←001.65%,57161016291.28,→000.11%,→000.55%,1.74,→001.60%,1.73,1.76,06.46% │ 10.22% │ 15.06% │ 11.47% │ 06.78%,08.95% │ 11.73% │ 12.46% │ 08.75% │ 08.14%,04.91% │ 11.69% │ 16.45% │ 12.46% │ 04.90%,06.68% │ 09.18% │ 15.83% │ 11.82% │ 06.08%,→020.69% │ ←016.81% │ ←020.85% │ →002.28% │ →024.27%,25.95% │ 63.98% │ 10.08%,→031.27% │ ←000.88% │ ←159.67%,49.97%,50.03%,50.41%,49.59%,28564574890.11,28596441401.17,8707116483,8565893970,6457569108,1433893433,1429017866,3665104073,3685226474
jpumb,noerd,__kfx,_ylcq,hitas,_gwvz,satihdreon,431.811305,17.90%,→000.80%,35.84%,→000.50%,57635592361.06,→001.98%,←001.32%,1.79,←001.44%,1.80,1.78,09.43% │ 09.51% │ 11.55% │ 10.59% │ 08.42%,07.20% │ 11.03% │ 10.83% │ 13.44% │ 08.00%,07.72% │ 09.71% │ 15.49% │ 11.32% │ 05.63%,06.68% │ 12.67% │ 14.75% │ 11.34% │ 04.68%,←017.83% │ →029.24% │ ←006.65% │ →003.98% │ ←016.91%,23.02% │ 67.15% │ 09.84%,←012.12% │ →000.36% │ →036.50%,49.50%,50.50%,49.88%,50.12%,28528988609.32,29106603751.74,8614944197,8658066256,6190875235,1540070595,1552468807,3833520122,3783504298
qbuck,hterd,_pvmx,jfow_,lians,__ygz,snaildreth!,428.955855,17.36%,←000.17%,37.09%,←001.56%,57335117982.61,←001.72%,←001.11%,1.75,→000.33%,1.75,1.75,06.35% │ 11.46% │ 14.38% │ 11.64% │ 06.60%,06.24% │ 09.07% │ 14.58% │ 11.71% │ 07.98%,04.78% │ 12.56% │ 15.83% │ 12.46% │ 04.76%,06.58% │ 11.23% │ 17.53% │ 09.77% │ 04.50%,→020.42% │ →002.12% │ →001.35% │ ←028.33% │ ←005.71%,23.15% │ 63.88% │ 12.97%,→018.90% │ ←004.17% │ ←035.69%,50.43%,49.57%,50.39%,49.61%,28911562697.04,28423555285.57,8703511735,8569498718,6406106808,1500356924,1497863916,3721331948,3680460899
_fckx,rneod,_mbgz,qpsuj,ltaih,vyw__,rneodltaih,343.369225,18.38%,→000.96%,36.63%,←000.91%,57201242269.42,→000.86%,←001.07%,1.76,←000.12%,1.77,1.76,08.06% │ 11.98% │ 13.69% │ 10.01% │ 06.04%,07.91% │ 11.29% │ 13.99% │ 10.88% │ 06.16%,06.53% │ 12.28% │ 16.92% │ 10.36% │ 04.14%,04.91% │ 10.37% │ 16.41% │ 12.65% │ 05.44%,←030.89% │ ←010.13% │ →002.10% │ →011.28% │ →023.65%,20.83% │ 65.13% │ 14.04%,→044.98% │ ←011.80% │ ←032.81%,49.78%,50.22%,50.23%,49.77%,28476573727.27,28724668542.15,8675792138,8597218315,6326753132,1579412558,1594760777,3760552856,3720593667
_pumq,hretd,zvyck,wfobj,lains,xg___,!snialdterh,320.051538,16.57%,←000.33%,37.39%,←001.65%,57680590814.38,→000.68%,→000.55%,1.74,→001.60%,1.73,1.76,05.83% │ 09.53% │ 14.83% │ 13.24% │ 06.40%,08.92% │ 12.13% │ 12.46% │ 08.58% │ 08.08%,04.81% │ 09.75% │ 16.45% │ 14.73% │ 04.67%,06.68% │ 09.11% │ 15.15% │ 12.51% │ 06.15%,→027.83% │ ←011.11% │ ←018.96% │ ←009.13% │ →028.25%,24.10% │ 64.35% │ 11.55%,→043.22% │ ←000.86% │ ←218.34%,49.83%,50.17%,50.41%,49.59%,28741285543.91,28939305270.47,8707116483,8565893970,6457569108,1433762639,1429017866,3665104073,3685226474
