keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_pmub,sital,zxcvj,yhg__,dneor,kwqf_,sitaldneor,1145.164293,18.13%,←001.19%,37.78%,→002.10%,59687776418.56,→001.07%,→000.95%,1.73,←000.85%,1.74,1.72,07.80% │ 09.72% │ 11.26% │ 12.03% │ 08.92%,09.16% │ 12.22% │ 11.45% │ 09.60% │ 07.84%,06.58% │ 09.93% │ 14.73% │ 12.13% │ 06.12%,06.27% │ 13.86% │ 14.12% │ 09.75% │ 06.53%,→000.48% │ ←001.23% │ →001.66% │ →001.54% │ →002.62%,21.47%,66.27%,12.25%,←012.07% │ →005.88% │ ←004.11%,49.73%,50.27%,49.47%,50.53%,29683169382.81,30004607035.75,8545055557,8727954896,6525200208,1574687594,1556169170,3624009187,3658690260
_yplb,saith,zxcvq,mwugj,deonr,__fk_,saithdeonr,1144.790201,18.00%,→002.24%,35.97%,←001.37%,60728778592.34,←001.39%,←001.90%,1.78,←000.41%,1.79,1.78,07.52% │ 09.83% │ 10.73% │ 13.00% │ 09.27%,09.38% │ 12.63% │ 10.08% │ 09.57% │ 07.99%,06.58% │ 10.17% │ 13.06% │ 14.14% │ 06.40%,06.43% │ 13.66% │ 12.53% │ 10.29% │ 06.76%,→005.95% │ ←002.68% │ ←006.50% │ ←002.89% │ →001.20%,24.36%,66.28%,09.35%,→002.32% │ →003.34% │ ←057.89%,50.34%,49.66%,50.34%,49.66%,30573462845.55,30155315746.79,8695353043,8577657410,6213698251,1537289468,1572498697,3832806644,3761394760
_pmub,sitah,zxcvj,_klgw,oernd,qyf__,sitahoernd,1144.152736,17.44%,←001.36%,37.27%,→000.47%,59707043957.11,←001.79%,←002.44%,1.74,←002.17%,1.76,1.73,07.73% │ 09.69% │ 11.25% │ 12.19% │ 09.58%,10.07% │ 11.93% │ 10.75% │ 09.37% │ 07.43%,06.58% │ 09.93% │ 14.73% │ 12.13% │ 06.53%,07.66% │ 14.42% │ 12.98% │ 09.54% │ 05.51%,←004.06% │ ←003.39% │ ←004.59% │ ←002.25% │ →004.91%,21.99%,66.47%,11.53%,←005.10% │ →001.70% │ ←017.10%,50.44%,49.56%,49.88%,50.12%,30118398625.85,29588645331.26,8616326982,8656683471,6437919293,1516284574,1495936357,3729485396,3640494966
_mpub,siath,zxcvq,fwklj,doenr,_yg__,siathdoenr,1144.146668,17.44%,←000.69%,37.21%,→000.98%,60059797322.49,←001.72%,←001.82%,1.75,←002.10%,1.76,1.73,07.74% │ 10.20% │ 11.64% │ 11.43% │ 09.42%,09.03% │ 10.81% │ 11.12% │ 10.59% │ 08.02%,06.58% │ 10.38% │ 13.74% │ 12.65% │ 06.40%,06.01% │ 10.96% │ 14.77% │ 11.76% │ 06.76%,→003.48% │ →003.65% │ ←004.65% │ ←005.65% │ ←004.30%,23.12%,66.02%,10.86%,→003.48% │ ←000.93% │ ←019.31%,50.43%,49.57%,49.75%,50.25%,30285569483.19,29774227839.30,8593775782,8679234671,6427336746,1511811331,1501382788,3723481590,3657081319
_pmub,saith,zxcvq,_fklw,noerd,_ygj_,saithnoerd,1143.945484,17.45%,←000.66%,37.21%,→000.98%,60483009055.29,→000.32%,←001.82%,1.75,←002.10%,1.76,1.73,07.67% │ 10.37% │ 11.01% │ 11.49% │ 09.37%,09.61% │ 11.45% │ 10.94% │ 10.30% │ 07.77%,06.58% │ 10.61% │ 13.52% │ 12.65% │ 06.40%,07.49% │ 11.45% │ 14.77% │ 11.03% │ 05.51%,→001.25% │ ←000.66% │ ←000.65% │ ←000.28% │ →002.45%,22.52%,66.26%,11.21%,→000.39% │ →001.68% │ ←008.24%,49.92%,50.08%,49.75%,50.25%,30192905049.71,30290104005.58,8593775782,8679234671,6427336746,1511811331,1501891526,3723481590,3657081319
_pmub,satih,zxcvq,_fklw,roend,_ygj_,satihroend,1143.638319,17.45%,←000.66%,37.21%,→000.98%,60216612511.24,→001.36%,←001.82%,1.75,←002.10%,1.76,1.73,07.65% │ 10.41% │ 11.23% │ 11.08% │ 09.29%,08.69% │ 11.85% │ 11.40% │ 10.88% │ 07.53%,06.58% │ 10.61% │ 14.73% │ 11.44% │ 06.40%,06.53% │ 11.45% │ 14.77% │ 11.99% │ 05.51%,←001.68% │ →004.33% │ →001.50% │ →006.47% │ ←006.89%,22.57%,66.18%,11.26%,→001.11% │ →003.69% │ ←013.01%,49.66%,50.34%,49.75%,50.25%,29902891058.15,30313721453.09,8593775782,8679234671,6427336746,1511811331,1501891526,3723481590,3657081319
_gylb,siath,zxcvq,mwupj,deonr,__fk_,siathdeonr,1142.874327,17.49%,←001.11%,36.42%,←000.99%,60600364330.93,←001.07%,←001.00%,1.77,←000.01%,1.77,1.77,07.53% │ 09.53% │ 10.99% │ 12.86% │ 09.35%,09.40% │ 12.68% │ 10.28% │ 09.24% │ 08.13%,06.58% │ 09.83% │ 13.30% │ 14.14% │ 06.40%,06.43% │ 13.66% │ 12.53% │ 10.38% │ 06.76%,→007.35% │ ←003.16% │ ←006.90% │ ←001.42% │ →000.54%,24.00%,66.59%,09.41%,→000.97% │ →004.38% │ ←058.86%,50.27%,49.73%,50.25%,49.75%,30461984641.64,30138379689.29,8678866764,8594143689,6290255427,1518819337,1502167508,3777496742,3740147486
_pmub,satih,zxcvj,_gklw,noerd,_yfq_,satihnoerd,1141.714787,17.44%,←001.36%,37.27%,→000.47%,60060492976.25,←000.04%,←002.44%,1.74,←002.17%,1.76,1.73,07.67% │ 10.49% │ 11.25% │ 11.09% │ 09.51%,09.68% │ 11.53% │ 10.74% │ 10.22% │ 07.82%,06.58% │ 10.61% │ 14.73% │ 11.44% │ 06.53%,07.49% │ 11.32% │ 14.90% │ 10.90% │ 05.51%,→001.92% │ ←002.61% │ ←004.77% │ →003.77% │ →001.82%,22.70%,66.09%,11.21%,→002.20% │ →002.60% │ ←022.71%,50.01%,49.99%,49.88%,50.12%,30036008029.34,30024484946.91,8616326982,8656683471,6437919293,1516284574,1495936357,3729485396,3640494966
_bply,sitah,zxcvq,mgukj,deonr,__fw_,sitahdeonr,1140.002485,17.93%,→001.41%,35.97%,←001.37%,60469863735.45,←001.10%,←001.90%,1.78,←000.41%,1.79,1.78,07.52% │ 08.93% │ 10.36% │ 13.85% │ 09.61%,09.42% │ 13.49% │ 10.06% │ 08.74% │ 08.02%,06.58% │ 09.40% │ 14.27% │ 13.61% │ 06.48%,06.43% │ 14.02% │ 12.53% │ 09.93% │ 06.76%,→006.22% │ ←002.27% │ ←002.96% │ ←002.70% │ ←001.98%,23.30%,66.15%,10.55%,←008.03% │ →004.59% │ ←025.73%,50.27%,49.73%,50.34%,49.66%,30400522120.32,30069341615.13,8695353043,8577657410,6213698251,1537289468,1559249249,3832806644,3761394760
wgju_,dneal,zxcvf,bmry_,hitos,qpk__,dnealhitos,1138.408669,17.72%,←002.35%,39.55%,→002.05%,58571535037.32,←000.47%,→001.23%,1.68,←000.57%,1.68,1.67,07.77% │ 09.15% │ 11.95% │ 12.08% │ 09.17%,09.22% │ 12.27% │ 11.75% │ 09.15% │ 07.50%,05.64% │ 09.73% │ 15.53% │ 12.13% │ 06.45%,06.40% │ 12.34% │ 16.07% │ 09.26% │ 06.45%,←003.56% │ ←000.02% │ ←001.69% │ →001.54% │ →000.50%,24.04%,62.99%,12.97%,→035.66% │ ←000.31% │ ←140.57%,50.12%,49.88%,49.48%,50.52%,29353976927.43,29217558109.89,8546958191,8726052262,6832295842,1547795910,1512244444,3466300920,3509302893
_gpub,sitah,zxcvj,_wlmy,oenrd,qkf__,sitahoenrd,1138.194913,16.32%,←001.91%,38.07%,→002.64%,59666683350.81,→001.17%,→002.40%,1.72,←000.18%,1.72,1.72,07.73% │ 09.38% │ 10.86% │ 12.08% │ 09.65%,10.15% │ 12.37% │ 11.12% │ 09.05% │ 07.60%,06.58% │ 09.83% │ 14.27% │ 12.13% │ 06.53%,07.66% │ 14.41% │ 13.94% │ 09.13% │ 05.53%,←001.72% │ ←003.62% │ →002.36% │ →002.33% │ →004.89%,23.18%,66.54%,10.28%,→015.67% │ →002.30% │ ←053.14%,49.71%,50.29%,49.33%,50.67%,29658049885.00,30008633465.81,8520821359,8752189094,6575222678,1422904367,1396244252,3572368726,3660308251
_pgub,siath,zxcvj,_wlfy,oernd,qkm__,siathoernd,1137.554234,16.33%,←001.81%,38.07%,→002.64%,59585201313.84,→000.61%,→002.40%,1.72,←000.18%,1.72,1.72,07.79% │ 09.59% │ 11.23% │ 11.51% │ 09.74%,10.15% │ 12.00% │ 10.87% │ 09.45% │ 07.68%,06.58% │ 09.93% │ 13.65% │ 12.65% │ 06.53%,07.66% │ 14.41% │ 13.40% │ 09.68% │ 05.53%,←001.46% │ ←001.47% │ ←003.27% │ →004.16% │ →004.05%,22.92%,66.55%,10.53%,→012.79% │ →001.43% │ ←039.60%,49.85%,50.15%,49.33%,50.67%,29701920468.41,29883280845.43,8520821359,8752189094,6575222678,1422904367,1397632942,3572368726,3660308251
_gpub,satih,zxcvj,_wlmy,oernd,qkf__,satihoernd,1136.609452,16.32%,←001.91%,38.07%,→002.64%,59343832438.62,→001.14%,→002.40%,1.72,←000.18%,1.72,1.72,07.76% │ 10.11% │ 10.99% │ 11.18% │ 09.69%,10.19% │ 11.98% │ 10.63% │ 09.80% │ 07.69%,06.58% │ 10.51% │ 14.27% │ 11.44% │ 06.53%,07.66% │ 14.41% │ 12.98% │ 10.09% │ 05.53%,←000.89% │ ←003.16% │ ←003.35% │ →006.73% │ →004.92%,23.26%,66.41%,10.33%,→015.70% │ →002.26% │ ←053.11%,49.71%,50.29%,49.33%,50.67%,29501881467.97,29841950970.65,8520821359,8752189094,6575222678,1422904367,1396244252,3572368726,3660308251
_gpub,saith,zxcvj,_wlmy,oernd,qkf__,saithoernd,1135.988419,16.32%,←001.91%,38.07%,→002.64%,59538959730.99,→000.49%,→002.40%,1.72,←000.18%,1.72,1.72,07.79% │ 10.10% │ 10.58% │ 11.63% │ 09.78%,10.16% │ 11.94% │ 10.60% │ 09.76% │ 07.66%,06.58% │ 10.51% │ 13.06% │ 12.65% │ 06.53%,07.66% │ 14.41% │ 12.98% │ 10.09% │ 05.53%,←001.62% │ ←003.40% │ →000.16% │ →002.60% │ →003.66%,23.24%,66.58%,10.17%,→015.23% │ →001.10% │ ←050.18%,49.88%,50.12%,49.33%,50.67%,29697008760.34,29841950970.65,8520821359,8752189094,6575222678,1422904367,1396244252,3572368726,3660308251
_fmuq,satih,zxcvb,dpylj,goenr,_wk__,satihgoenr,1135.795406,17.82%,→000.36%,37.97%,→000.83%,59384026541.79,←000.02%,→000.53%,1.72,←000.22%,1.73,1.72,07.74% │ 10.14% │ 11.39% │ 11.31% │ 09.42%,09.43% │ 10.89% │ 10.81% │ 10.73% │ 08.15%,06.58% │ 10.65% │ 14.73% │ 11.44% │ 06.40%,05.87% │ 11.40% │ 14.42% │ 11.76% │ 06.76%,→005.05% │ →005.44% │ ←005.37% │ ←003.92% │ →000.04%,25.13%,63.50%,11.36%,→046.13% │ ←006.44% │ ←191.76%,50.00%,50.00%,49.79%,50.21%,29694486698.79,29689539843.00,8600676209,8672334244,6559079981,1536556894,1542121568,3614785250,3634034424
_ugby,sined,zxcvq,_lpmj,htaor,kwf__,sinedhtaor,1133.889989,18.00%,←000.37%,37.92%,←001.18%,59373917078.11,→000.44%,←000.78%,1.72,→000.29%,1.72,1.73,07.90% │ 10.23% │ 10.09% │ 13.49% │ 08.18%,07.83% │ 12.98% │ 10.65% │ 10.49% │ 08.16%,06.58% │ 10.56% │ 12.87% │ 14.67% │ 05.63%,05.43% │ 14.75% │ 12.60% │ 10.16% │ 06.76%,→003.10% │ →002.46% │ →005.27% │ ←003.87% │ ←004.45%,21.39%,66.52%,12.10%,→005.12% │ →000.14% │ ←006.63%,49.89%,50.11%,50.29%,49.71%,29621226431.78,29752690646.33,8687350260,8585660193,6549909419,1557580903,1551849248,3643018275,3614971961
_ugdq,sitah,zxcvk,blypj,mneor,wf___,sitahmneor,1133.251810,16.28%,→000.97%,38.91%,←000.01%,58942679113.00,←001.97%,←000.03%,1.70,←000.01%,1.70,1.70,07.91% │ 10.82% │ 10.76% │ 12.74% │ 08.26%,08.49% │ 12.81% │ 09.94% │ 09.85% │ 08.42%,06.58% │ 10.56% │ 14.17% │ 13.17% │ 05.53%,05.91% │ 13.94% │ 13.67% │ 09.71% │ 06.76%,→006.07% │ ←009.79% │ ←008.33% │ →000.58% │ →002.76%,22.85%,64.86%,12.29%,→020.26% │ ←004.41% │ ←042.40%,50.49%,49.51%,50.00%,50.00%,29758143311.00,29184535802.00,8637036213,8635974240,6721647265,1399384503,1413151297,3543675259,3542577131
_ugdk,sitah,zxcvj,plymq,fneor,bw___,sitahfneor,1129.732621,17.08%,→001.54%,38.99%,←000.54%,59336487996.89,←001.90%,←000.67%,1.69,←000.09%,1.69,1.69,07.86% │ 10.78% │ 10.69% │ 12.71% │ 08.43%,08.72% │ 12.27% │ 09.87% │ 10.42% │ 08.25%,06.58% │ 10.56% │ 14.17% │ 13.17% │ 05.66%,05.95% │ 13.45% │ 13.67% │ 10.16% │ 06.63%,→004.74% │ ←003.46% │ ←008.37% │ ←003.53% │ →003.30%,25.41%,63.98%,10.61%,→020.95% │ ←006.40% │ ←044.41%,50.47%,49.53%,50.13%,49.87%,29947576188.62,29388911808.27,8659587413,8613423040,6734100320,1463915044,1486803378,3548743811,3525055524
_ugby,snied,zxcvq,_lpmj,htaor,kwf__,sniedhtaor,1128.961170,18.00%,←000.37%,37.92%,←001.18%,59547427090.68,←000.14%,←000.78%,1.72,→000.29%,1.72,1.73,07.85% │ 09.86% │ 10.57% │ 13.55% │ 08.21%,07.81% │ 12.95% │ 10.62% │ 10.46% │ 08.13%,06.58% │ 10.46% │ 12.97% │ 14.67% │ 05.63%,05.43% │ 14.75% │ 12.60% │ 10.16% │ 06.76%,→003.44% │ →005.75% │ →000.48% │ ←004.63% │ ←005.15%,21.31%,66.70%,11.99%,→005.27% │ ←001.00% │ ←005.42%,50.04%,49.96%,50.29%,49.71%,29794736444.35,29752690646.33,8687350260,8585660193,6549909419,1557580903,1551849248,3643018275,3614971961
_ugdk,siath,zxcvq,ylpfj,mneor,bw___,siathmneor,1127.044670,17.15%,→002.66%,38.91%,←000.01%,58915226110.56,←001.42%,←000.03%,1.70,←000.01%,1.70,1.70,07.96% │ 10.87% │ 10.97% │ 12.14% │ 08.42%,08.93% │ 12.14% │ 10.11% │ 10.10% │ 08.37%,06.58% │ 10.56% │ 13.65% │ 13.70% │ 05.53%,05.93% │ 13.45% │ 14.12% │ 09.75% │ 06.76%,→004.97% │ ←007.62% │ ←008.43% │ ←000.05% │ →005.69%,25.00%,64.62%,10.39%,→017.99% │ ←004.70% │ ←038.90%,50.35%,49.65%,50.00%,50.00%,29665321972.69,29249904137.87,8637036213,8635974240,6721647265,1461312309,1501259241,3543675259,3542577131
_ugdk,satih,zxcvq,ylpmj,fneor,bw___,satihfneor,1126.639368,17.18%,→002.93%,38.91%,←000.01%,58876588295.13,←001.87%,←000.03%,1.70,←000.01%,1.70,1.70,07.90% │ 11.13% │ 10.83% │ 12.31% │ 08.30%,08.46% │ 12.17% │ 10.06% │ 10.49% │ 08.36%,06.58% │ 11.24% │ 14.17% │ 12.49% │ 05.53%,05.51% │ 13.45% │ 14.12% │ 10.16% │ 06.76%,→005.49% │ ←006.04% │ ←007.63% │ ←001.16% │ →001.84%,25.45%,64.05%,10.51%,→019.46% │ ←006.21% │ ←039.78%,50.46%,49.54%,50.00%,50.00%,29711533096.44,29165055198.69,8637036213,8635974240,6721647265,1461312309,1505345161,3543675259,3542577131
kufd_,hiatl,zxcvy,_gnwj,serom,__qbp,hiatlserom,1126.446933,17.68%,←000.89%,39.97%,→001.73%,58233962453.85,←001.86%,→000.31%,1.67,←000.96%,1.67,1.66,07.36% │ 11.01% │ 11.27% │ 12.09% │ 08.73%,08.52% │ 12.36% │ 10.73% │ 10.95% │ 06.97%,05.55% │ 10.56% │ 13.78% │ 13.70% │ 05.97%,06.45% │ 14.02% │ 14.12% │ 10.87% │ 04.98%,←005.56% │ ←000.56% │ ←004.97% │ →002.17% │ ←002.43%,23.74%,61.80%,14.46%,→005.23% │ →004.79% │ ←054.02%,50.46%,49.54%,49.56%,50.44%,29385076154.75,28848886299.10,8560965189,8712045264,6903462977,1533805170,1520348240,3446840959,3457595719
_pmkg,saned,zxcvj,_ulfq,hotir,byw__,sanedhotir,1123.505032,18.66%,→001.17%,38.39%,←002.03%,58398381790.89,←000.45%,→000.99%,1.71,→002.11%,1.69,1.73,07.78% │ 10.31% │ 09.69% │ 13.15% │ 09.19%,09.07% │ 12.65% │ 10.24% │ 09.89% │ 08.05%,06.58% │ 10.61% │ 13.42% │ 13.79% │ 06.10%,06.30% │ 12.04% │ 14.75% │ 09.77% │ 06.63%,→003.36% │ ←004.25% │ →005.34% │ ←003.96% │ ←001.32%,20.82%,66.07%,13.11%,→011.86% │ ←006.56% │ →008.23%,50.11%,49.89%,50.50%,49.50%,29264347870.14,29134033920.75,8723181668,8549828785,6630267044,1602409273,1621440673,3570949179,3606683432
_pmkg,saned,zxcvj,_ulfq,hitor,byw__,sanedhitor,1123.379606,18.66%,→001.17%,38.39%,←002.03%,58439853501.49,←000.30%,→000.99%,1.71,→002.11%,1.69,1.73,07.77% │ 10.30% │ 09.68% │ 13.14% │ 09.18%,09.06% │ 12.55% │ 10.04% │ 10.12% │ 08.16%,06.58% │ 10.61% │ 13.42% │ 13.79% │ 06.10%,06.30% │ 12.07% │ 14.75% │ 09.75% │ 06.63%,→004.76% │ ←001.80% │ →003.54% │ ←004.73% │ ←001.33%,20.98%,65.89%,13.12%,→013.25% │ ←006.99% │ →008.50%,50.08%,49.92%,50.50%,49.50%,29264347870.14,29175505631.35,8723181668,8549828785,6630267044,1602409273,1621440673,3570949179,3606683432
