keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,sfs_ratio,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,left_finger_row_switch_ratio,right_finger_row_switch_ratio,finger_row_switch_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,sfs_count,home_row_balance,left_pinky_ratio,left_ring_ratio,left_middle_ratio,left_index_inner_ratio,left_index_outer_ratio,right_pinky_ratio,right_ring_ratio,right_middle_ratio,right_index_inner_ratio,right_index_outer_ratio,left_pinky_row_switch_ratio,left_ring_row_switch_ratio,left_middle_row_switch_ratio,left_index_row_switch_ratio,right_pinky_row_switch_ratio,right_ring_row_switch_ratio,right_middle_row_switch_ratio,right_index_row_switch_ratio,pinky_balance,ring_balance,middle_balance,index_inner_balance,index_outer_balance,pinky_row_switch_balance,ring_row_switch_balance,middle_row_switch_balance,index_row_switch_balance
flhdm,srntk,xjbzq,vwou_,gyaei,pc___,whorf,13228.648852,0.57%,026.51%→,52.94%,000.65%→,5.46%,57333796790.34,008.23%→,021.76%→,1.37,008.42%→,1.31,1.43,11.53% │ 10.44% │ 09.36% │ 11.38% │ 05.14%,08.29% │ 07.33% │ 12.98% │ 14.25% │ 09.29%,08.83% │ 11.03% │ 13.79% │ 12.75% │ 03.45%,05.27% │ 06.72% │ 15.83% │ 14.75% │ 07.59%,024.03%← │ 026.73%→ │ 027.85%→ │ 055.33%← │ 038.00%→,00.23% │ 00.88% │ 00.49% │ 00.34%,00.86% │ 00.43% │ 01.06% │ 00.00%,100.00%← │ 037.55%→ │ 000.12%→ │ 046.40%→,38.24%,51.15%,10.60%,041.87%← │ 021.04%→ │ 063.18%→,47.86%,52.14%,49.84%,50.16%,27437127978.63,29896668811.71,8608302104,8664708349,9143727835,41519405,56497222,2047320685,2616851135,943401156,021.04%→,11.53%,10.44%,9.36%,11.38%,5.14%,9.29%,14.25%,12.98%,7.33%,8.29%,0.23%,0.88%,0.49%,0.34%,0.00%,1.06%,0.43%,0.86%,024.03%←,026.73%→,027.85%→,055.33%←,038.00%→,100.00%←,037.55%→,000.12%→,046.40%→
fdlbv,strnk,zqxhp,jgou_,ymaei,wc___,stronk,12672.369781,0.59%,020.28%→,52.56%,000.91%←,5.61%,56597996719.57,001.35%←,016.44%→,1.38,006.85%→,1.33,1.43,11.51% │ 12.22% │ 07.80% │ 12.80% │ 06.01%,05.40% │ 08.92% │ 12.66% │ 13.43% │ 09.24%,08.76% │ 12.72% │ 10.99% │ 13.79% │ 03.97%,03.63% │ 07.98% │ 15.83% │ 14.75% │ 07.59%,024.57%← │ 009.03%→ │ 038.41%→ │ 043.44%← │ 011.15%←,00.21% │ 00.08% │ 00.87% │ 00.79%,00.92% │ 00.43% │ 01.06% │ 00.00%,100.00%← │ 093.68%→ │ 041.40%← │ 030.79%←,31.07%,52.31%,16.62%,009.39%← │ 011.90%→ │ 036.91%←,50.34%,49.66%,50.23%,49.77%,28489391070.37,28108605649.20,8675567503,8597442950,9077841055,45552041,57137742,2153282415,2576776185,969657689,011.90%→,11.51%,12.22%,7.80%,12.80%,6.01%,9.24%,13.43%,12.66%,8.92%,5.40%,0.21%,0.08%,0.87%,0.79%,0.00%,1.06%,0.43%,0.92%,024.57%←,009.03%→,038.41%→,043.44%←,011.15%←,100.00%←,093.68%→,041.40%←,030.79%←
ypouj,inea_,qz___,kdlcw,mhtsr,bfgvx,mtgap-1,11480.093524,1.14%,035.78%→,52.48%,000.15%→,6.07%,54047912095.57,006.95%→,033.38%←,1.38,011.51%←,1.46,1.31,12.73% │ 11.84% │ 13.28% │ 09.96% │ 00.39%,07.42% │ 10.50% │ 11.21% │ 11.07% │ 11.60%,09.39% │ 09.76% │ 19.53% │ 11.05% │ 00.23%,04.97% │ 10.69% │ 15.11% │ 10.85% │ 08.41%,009.72%← │ 006.99%← │ 018.47%← │ 005.09%→ │ 094.79%→,00.42% │ 00.15% │ 00.56% │ 02.52%,01.25% │ 01.99% │ 01.47% │ 00.49%,003.66%→ │ 090.81%→ │ 063.52%→ │ 045.00%←,35.56%,54.45%,09.99%,001.64%← │ 021.58%← │ 095.86%→,48.20%,51.80%,49.96%,50.04%,26051750788.73,27996161306.84,8630238214,8642772239,9065049339,77316948,120402920,2710564612,2032285704,1047804998,021.58%←,12.73%,11.84%,13.28%,9.96%,0.39%,11.60%,11.07%,11.21%,10.50%,7.42%,0.42%,0.15%,0.56%,2.52%,0.49%,1.47%,1.99%,1.25%,009.72%←,006.99%←,018.47%←,005.09%→,094.79%→,003.66%→,090.81%→,063.52%→,045.00%←
flhvz,srntk,xjbmq,_wuoy,cdeai,pg___,semimak-jq,10889.686188,0.56%,026.74%→,53.05%,011.00%→,5.34%,55690316584.65,020.19%→,038.11%→,1.37,012.23%→,1.28,1.46,11.78% │ 10.67% │ 09.54% │ 11.02% │ 01.38%,08.54% │ 07.32% │ 09.22% │ 17.96% │ 12.57%,08.83% │ 11.03% │ 13.79% │ 12.48% │ 00.97%,05.47% │ 07.57% │ 14.75% │ 15.83% │ 09.29%,006.32%→ │ 040.60%→ │ 003.41%← │ 050.71%← │ 083.87%→,00.23% │ 00.88% │ 00.49% │ 00.37%,00.51% │ 01.06% │ 00.43% │ 00.34%,035.48%→ │ 044.95%← │ 056.97%→ │ 024.18%→,34.33%,53.56%,12.11%,017.15%→ │ 024.48%→ │ 008.51%→,44.39%,55.61%,47.09%,52.91%,24719159175.06,30971157409.59,8133961337,9139049116,9163102226,40642132,55474139,1775775243,2869022186,921524082,024.48%→,11.78%,10.67%,9.54%,11.02%,1.38%,12.57%,17.96%,9.22%,7.32%,8.54%,0.23%,0.88%,0.49%,0.37%,0.34%,0.43%,1.06%,0.51%,006.32%→,040.60%→,003.41%←,050.71%←,083.87%→,035.48%→,044.95%←,056.97%→,024.18%→
yclmk,isrtg,qvwdj,zfu__,pneao,bh__x,isrt-standard,10879.036484,0.85%,032.58%←,46.83%,004.00%←,6.24%,56943074253.69,012.01%←,006.43%→,1.49,005.10%→,1.46,1.54,13.51% │ 11.56% │ 08.98% │ 14.53% │ 04.25%,05.72% │ 14.35% │ 10.49% │ 07.00% │ 09.62%,09.39% │ 10.85% │ 12.49% │ 15.22% │ 03.03%,03.90% │ 14.36% │ 14.75% │ 08.27% │ 07.75%,040.49%← │ 065.17%← │ 014.35%→ │ 001.25%← │ 025.68%→,00.42% │ 01.47% │ 01.37% │ 00.64%,01.06% │ 01.06% │ 00.00% │ 00.22%,131.63%← │ 100.00%← │ 009.73%← │ 040.17%→,22.93%,60.22%,16.85%,145.47%← │ 013.18%→ │ 003.08%←,52.83%,47.17%,50.98%,49.02%,30083867715.54,26859206538.15,8805682401,8467328052,8089647911,84107451,63440142,2764222034,2954029710,1077842027,013.18%→,13.51%,11.56%,8.98%,14.53%,4.25%,9.62%,7.00%,10.49%,14.35%,5.72%,0.42%,1.47%,1.37%,0.64%,0.22%,0.00%,1.06%,1.06%,040.49%←,065.17%←,014.35%→,001.25%←,025.68%→,131.63%←,100.00%←,009.73%←,040.17%→
qwfdp,asetg,zxcvb,yulk_,hnoir,jm___,notarise-ts,10338.975651,3.58%,034.19%→,44.75%,016.56%←,6.68%,57556916388.24,020.31%←,011.49%←,1.54,002.39%→,1.53,1.56,11.12% │ 07.74% │ 14.19% │ 13.04% │ 08.51%,08.84% │ 12.30% │ 08.58% │ 07.87% │ 07.81%,08.50% │ 08.33% │ 17.48% │ 13.70% │ 05.82%,06.61% │ 12.87% │ 11.83% │ 08.33% │ 06.53%,042.34%← │ 001.56%→ │ 065.50%← │ 006.01%← │ 003.66%→,00.65% │ 00.64% │ 06.40% │ 00.99%,07.07% │ 05.30% │ 01.89% │ 00.00%,100.00%← │ 065.94%→ │ 078.69%← │ 085.96%→,24.21%,63.88%,11.91%,006.11%← │ 011.74%← │ 142.57%←,54.61%,45.39%,53.82%,46.18%,31431260873.80,26125655514.44,9297042018,7975968435,7729719103,245625749,373239679,3204172283,2874008269,1153485912,011.74%←,11.12%,7.74%,14.19%,13.04%,8.51%,7.81%,7.87%,8.58%,12.30%,8.84%,0.65%,0.64%,6.40%,0.99%,0.00%,1.89%,5.30%,7.07%,042.34%←,001.56%→,065.50%←,006.01%←,003.66%→,100.00%←,065.94%→,078.69%←,085.96%→
fulvb,sehtw,z_mpk,qgnoj,ydrai,_cx__,seht-drai-ortho,9860.247228,0.77%,006.75%←,38.73%,004.65%←,5.56%,61082042324.46,003.85%←,002.73%→,1.70,005.00%→,1.66,1.75,11.03% │ 15.16% │ 09.14% │ 10.13% │ 05.48%,02.32% │ 09.35% │ 12.68% │ 15.83% │ 08.87%,08.76% │ 14.75% │ 11.55% │ 12.02% │ 04.06%,01.80% │ 09.20% │ 14.21% │ 15.83% │ 07.82%,024.32%← │ 004.26%→ │ 027.92%→ │ 008.41%← │ 135.86%←,00.21% │ 01.06% │ 00.85% │ 00.78%,01.07% │ 01.23% │ 00.43% │ 00.17%,035.46%← │ 132.10%← │ 043.97%→ │ 006.89%←,35.53%,53.33%,11.13%,029.26%→ │ 022.82%← │ 058.34%←,50.94%,49.06%,51.14%,48.86%,31117351583.39,29964690741.07,8832800315,8440210138,6689353627,68758340,64411353,3510088039,3608457989,960150324,022.82%←,11.03%,15.16%,9.14%,10.13%,5.48%,8.87%,15.83%,12.68%,9.35%,2.32%,0.21%,1.06%,0.85%,0.78%,0.17%,0.43%,1.23%,1.07%,024.32%←,004.26%→,027.92%→,008.41%←,135.86%←,035.46%←,132.10%←,043.97%→,006.89%←
wcdlk,rsthv,qbgmx,jyou_,pneia,zf___,apt,9558.115421,0.90%,016.13%←,50.88%,007.88%→,6.53%,53167990589.19,003.01%→,036.58%→,1.41,013.92%→,1.31,1.52,11.57% │ 11.95% │ 10.55% │ 12.07% │ 03.10%,03.80% │ 12.66% │ 13.39% │ 10.32% │ 10.59%,08.32% │ 11.39% │ 14.67% │ 11.55% │ 02.02%,02.51% │ 11.38% │ 19.53% │ 10.37% │ 08.27%,009.19%← │ 015.79%← │ 021.23%→ │ 004.69%→ │ 018.33%→,00.49% │ 01.87% │ 00.53% │ 01.13%,01.54% │ 00.56% │ 00.91% │ 00.00%,100.00%← │ 126.16%← │ 028.97%→ │ 028.31%→,32.88%,55.11%,12.01%,020.24%← │ 029.66%→ │ 144.98%←,49.23%,50.77%,47.95%,52.05%,26177236964.92,26990753624.27,8282335312,8990675141,8787660414,83769442,72133111,1948282221,3071957020,1127931103,029.66%→,11.57%,11.95%,10.55%,12.07%,3.10%,10.59%,10.32%,13.39%,12.66%,3.80%,0.49%,1.87%,0.53%,1.13%,0.00%,0.91%,0.56%,1.54%,009.19%←,015.79%←,021.23%→,004.69%→,018.33%→,100.00%←,126.16%←,028.97%→,028.31%→
ql_p_,arenb,zw_hj,_fudk,gsito,vcymx,arensito-2,9548.424832,0.94%,012.71%→,40.92%,003.46%→,6.18%,58867180884.28,006.47%→,004.49%←,1.64,005.20%←,1.68,1.60,10.90% │ 13.69% │ 08.09% │ 13.29% │ 02.37%,04.26% │ 11.19% │ 10.07% │ 14.84% │ 11.31%,08.50% │ 12.49% │ 11.97% │ 14.32% │ 01.85%,03.13% │ 11.96% │ 12.07% │ 15.22% │ 08.50%,003.69%→ │ 007.71%→ │ 019.66%→ │ 018.72%← │ 044.47%→,00.65% │ 01.37% │ 00.00% │ 01.31%,01.25% │ 01.24% │ 00.44% │ 01.14%,042.89%→ │ 156.09%← │ 100.00%→ │ 012.35%←,20.50%,60.20%,19.30%,028.99%→ │ 012.93%← │ 030.87%→,48.33%,51.67%,49.12%,50.88%,28449958108.60,30417222775.68,8484507339,8788503114,7068455805,75894550,86943812,3443747159,3295696691,1068172771,012.93%←,10.90%,13.69%,8.09%,13.29%,2.37%,11.31%,14.84%,10.07%,11.19%,4.26%,0.65%,1.37%,0.00%,1.31%,1.14%,0.44%,1.24%,1.25%,003.69%→,007.71%→,019.66%→,018.72%←,044.47%→,042.89%→,156.09%←,100.00%→,012.35%←
qdrwb,ashtg,zxmcv,jfup_,yneoi,kl___,workman,8716.754610,2.35%,026.46%→,44.40%,005.49%←,6.87%,57494615954.29,018.66%←,002.68%→,1.55,004.35%→,1.52,1.59,11.27% │ 10.33% │ 12.67% │ 13.07% │ 06.93%,03.96% │ 14.52% │ 08.70% │ 09.47% │ 09.09%,08.50% │ 10.46% │ 13.81% │ 13.81% │ 04.75%,02.68% │ 13.94% │ 14.75% │ 09.71% │ 07.59%,024.00%← │ 009.07%← │ 045.64%← │ 010.01%→ │ 075.22%←,00.65% │ 00.96% │ 02.69% │ 02.51%,04.20% │ 01.06% │ 05.13% │ 00.00%,100.00%← │ 079.76%→ │ 137.83%← │ 033.12%→,25.22%,58.73%,16.06%,079.78%← │ 005.23%→ │ 044.41%←,54.27%,45.73%,51.33%,48.67%,31200049037.99,26294566916.30,8867055276,8405955177,7668874917,171808633,233621261,3027786679,3111238059,1186254470,005.23%→,11.27%,10.33%,12.67%,13.07%,6.93%,9.09%,9.47%,8.70%,14.52%,3.96%,0.65%,0.96%,2.69%,2.51%,0.00%,5.13%,1.06%,4.20%,024.00%←,009.07%←,045.64%←,010.01%→,075.22%←,100.00%←,079.76%→,137.83%←,033.12%→
