keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,roll_imbalance,mean_streak,streak_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,left_streak,right_streak
_mupb,hretc,kvygz,wfos_,dianl,__xjq,25-30/10,0.1831,16.54%,0.07%,37.43%,0.70%,0.10%,1.74,1.00,51.86%,48.14%,50.17%,49.83%,9063389.20,4699997.60,4363391.60,2501514,2484178,1866219,412347,412068,1060267,1059206,1.74,1.74
_ygkz,hterc,bpumv,wfos_,dianl,qjx__,htercdianl,0.1830,16.53%,0.01%,37.43%,0.70%,0.10%,1.74,1.00,52.36%,47.64%,50.17%,49.83%,9123005.20,4776883.60,4346121.60,2501514,2484178,1866219,412103,412068,1060267,1059206,1.74,1.74
_ygkz,hterc,bpumv,wfos_,dianl,xjq__,htercdianl,0.1830,16.53%,0.01%,37.43%,0.70%,0.10%,1.74,1.00,52.33%,47.67%,50.17%,49.83%,9128808.60,4776883.60,4351925.00,2501514,2484178,1866219,412103,412068,1060267,1059206,1.74,1.74
_ygkz,hterc,bpumv,wfos_,dianl,qxj__,htercdianl,0.1830,16.53%,0.01%,37.43%,0.70%,0.10%,1.74,1.00,52.33%,47.67%,50.17%,49.83%,9129238.50,4776883.60,4352354.90,2501514,2484178,1866219,412103,412068,1060267,1059206,1.74,1.74
_gykz,hterc,bpumv,wfos_,dianl,qjx__,htercdianl,0.1830,16.53%,0.01%,37.43%,0.70%,0.10%,1.74,1.00,52.39%,47.61%,50.17%,49.83%,9129337.70,4783216.10,4346121.60,2501514,2484178,1866219,412103,412068,1060267,1059206,1.74,1.74
_ygvk,hterc,bpumz,wfos_,dianl,qjx__,htercdianl,0.1830,16.53%,0.03%,37.43%,0.70%,0.10%,1.74,1.00,52.36%,47.64%,50.17%,49.83%,9122688.70,4776567.10,4346121.60,2501514,2484178,1866219,411935,412068,1060267,1059206,1.74,1.74
_kgyz,hterc,bpumv,wfos_,dianl,qjx__,htercdianl,0.1830,16.53%,0.01%,37.43%,0.70%,0.10%,1.74,1.00,52.40%,47.60%,50.17%,49.83%,9130543.60,4784422.00,4346121.60,2501514,2484178,1866219,412103,412068,1060267,1059206,1.74,1.74
_uspq,lraed,zkvy_,wfom_,ctinh,_gbjx,hnitcdearl,0.1823,19.20%,0.03%,36.09%,0.04%,0.01%,1.78,1.00,48.28%,51.72%,49.99%,50.01%,8653735.10,4178097.10,4475638.00,2492373,2493319,1799333,478555,478677,1093146,1093213,1.78,1.78
_uspq,lraed,zkvy_,wfom_,ctinh,_gbxj,hnitcdearl,0.1823,19.20%,0.03%,36.09%,0.04%,0.01%,1.78,1.00,48.27%,51.73%,49.99%,50.01%,8655643.80,4178097.10,4477546.70,2492373,2493319,1799333,478555,478677,1093146,1093213,1.78,1.78
_psuq,lraed,zkvy_,wfom_,ctinh,_gbjx,hnitcdearl,0.1823,19.20%,0.03%,36.09%,0.04%,0.01%,1.78,1.00,48.33%,51.67%,49.99%,50.01%,8662711.40,4187073.40,4475638.00,2492373,2493319,1799333,478555,478677,1093146,1093213,1.78,1.78
