keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
zfryv,sitoh,___cq,bpum_,daenl,jgxkw,sitohdaenl,1181.313134,19.16%,←000.77%,37.35%,←000.49%,58226206207.86,←000.21%,→000.52%,1.74,→000.75%,1.74,1.75,07.78% │ 09.83% │ 10.97% │ 12.60% │ 08.88%,08.47% │ 12.37% │ 11.27% │ 10.06% │ 07.78%,06.58% │ 09.77% │ 15.32% │ 12.59% │ 05.86%,05.67% │ 12.47% │ 14.94% │ 10.84% │ 05.96%,→000.04% │ →002.36% │ →002.66% │ ←001.87% │ ←004.89%,24.44%,64.89%,10.67%,←016.33% │ ←002.53% │ →038.56%,50.05%,49.95%,50.12%,49.88%,29143947389.22,29082258818.64,8657581525,8615428928,6451913260,1660877754,1648239504,3668380746,3687605649
jfomv,sanid,__qbk,_gcu_,ltehr,ypxwz,sanidltehr,1181.020318,16.68%,→000.37%,38.36%,→001.03%,58166543727.54,←000.50%,→001.44%,1.71,→000.29%,1.71,1.71,08.04% │ 09.66% │ 12.32% │ 11.84% │ 08.27%,08.64% │ 11.32% │ 11.72% │ 09.90% │ 08.29%,06.68% │ 10.46% │ 15.15% │ 11.81% │ 05.65%,05.97% │ 12.99% │ 15.49% │ 09.15% │ 06.66%,→003.08% │ →002.44% │ ←005.09% │ ←004.52% │ →004.21%,24.93%,63.78%,11.29%,←074.62% │ →005.82% │ →058.03%,50.12%,49.88%,49.74%,50.26%,29155541571.13,29011002156.41,8591689445,8681321008,6626625683,1438345188,1443635495,3564637102,3616636870
bfowg,drnel,xk___,zucjq,sitah,_pmyv,hatislenrd,1180.526536,17.68%,→000.67%,37.45%,←000.50%,59409403942.61,→000.07%,→000.44%,1.74,→000.69%,1.73,1.74,07.51% │ 09.45% │ 11.66% │ 12.40% │ 08.96%,08.81% │ 12.43% │ 11.32% │ 09.80% │ 07.66%,05.63% │ 09.46% │ 15.05% │ 13.66% │ 06.32%,06.58% │ 12.51% │ 14.73% │ 10.20% │ 05.86%,→001.92% │ →003.63% │ ←003.01% │ →000.25% │ ←001.78%,25.66%,63.35%,10.99%,←142.97% │ →007.11% │ →086.63%,49.98%,50.02%,50.13%,49.87%,29693882364.87,29715521577.74,8658105055,8614905398,6468204505,1521882420,1532145235,3661718100,3677977050
qfryv,sitoh,___cz,bpum_,daenl,jgxkw,sitohdaenl,1180.472151,19.17%,←000.91%,37.35%,←000.49%,58219671952.99,←000.19%,→000.52%,1.74,→000.75%,1.74,1.75,07.72% │ 09.82% │ 10.97% │ 12.60% │ 08.94%,08.47% │ 12.37% │ 11.27% │ 10.06% │ 07.78%,06.55% │ 09.77% │ 15.32% │ 12.59% │ 05.89%,05.67% │ 12.47% │ 14.94% │ 10.84% │ 05.96%,→000.88% │ →002.43% │ →002.66% │ ←001.89% │ ←005.60%,24.38%,64.89%,10.73%,←015.76% │ ←002.50% │ →037.65%,50.05%,49.95%,50.12%,49.88%,29137413134.35,29082258818.64,8657581525,8615428928,6451913260,1663177398,1648239504,3668380746,3687605649
zmuqv,rhetc,_bxly,wfopj,dians,kg___,rhetcdians,1180.351582,16.79%,→000.93%,37.66%,→000.91%,58519731982.80,←001.32%,←001.81%,1.73,←002.00%,1.75,1.72,08.03% │ 09.31% │ 12.43% │ 11.67% │ 08.88%,08.97% │ 11.55% │ 11.93% │ 09.24% │ 07.98%,06.66% │ 08.90% │ 14.94% │ 13.16% │ 06.11%,06.26% │ 11.82% │ 15.83% │ 09.64% │ 06.68%,←000.67% │ ←000.82% │ ←004.18% │ ←001.03% │ →001.00%,23.84%,62.08%,14.08%,→047.79% │ ←004.58% │ ←184.32%,50.33%,49.67%,49.77%,50.23%,29452331541.74,29067400441.06,8597016957,8675993496,6505591064,1443358499,1456907940,3683846364,3618462227
_fsuj,rotih,__xwv,bmpy_,lnead,qckzg,rotihlnead,1180.248201,19.12%,→001.47%,37.04%,→000.98%,58415226738.04,←000.09%,←000.02%,1.75,←000.75%,1.76,1.74,07.88% │ 09.94% │ 11.21% │ 12.15% │ 08.84%,08.70% │ 12.04% │ 11.01% │ 10.23% │ 08.01%,06.53% │ 09.75% │ 15.43% │ 12.06% │ 05.99%,05.99% │ 13.42% │ 14.86% │ 10.10% │ 05.87%,→001.52% │ →002.78% │ ←001.81% │ ←000.94% │ ←001.60%,23.42%,64.22%,12.36%,←029.06% │ ←005.19% │ →053.83%,50.02%,49.98%,49.75%,50.25%,29220853667.84,29194373070.20,8593987605,8679022848,6397371707,1639152848,1663601194,3705555115,3704972833
_fruj,sotih,__zbv,ympg_,dneal,xckqw,sotihdneal,1180.022073,18.99%,→001.46%,37.59%,→001.51%,57974201857.48,→000.48%,←000.27%,1.73,←001.33%,1.75,1.72,07.64% │ 09.93% │ 11.27% │ 12.30% │ 08.74%,08.82% │ 12.20% │ 10.79% │ 10.55% │ 07.76%,06.45% │ 09.75% │ 15.45% │ 11.99% │ 05.99%,05.72% │ 13.42% │ 14.86% │ 10.42% │ 05.96%,→001.54% │ →005.87% │ ←004.44% │ ←000.81% │ →000.93%,24.71%,63.58%,11.71%,←025.96% │ ←002.56% │ →049.80%,49.88%,50.12%,49.62%,50.38%,28916831351.45,29057370506.03,8570785596,8702224857,6492890615,1628397584,1652522111,3662444079,3652564961
jfomv,sniad,__qbk,_ucg_,ltehr,wpxyz,sniadltehr,1179.205128,16.68%,→000.37%,38.36%,→001.03%,58259151364.79,→000.35%,→001.44%,1.71,→000.29%,1.71,1.71,08.01% │ 09.30% │ 12.40% │ 11.92% │ 08.28%,08.24% │ 12.55% │ 11.73% │ 09.32% │ 08.25%,06.68% │ 09.68% │ 15.25% │ 12.49% │ 05.65%,05.96% │ 13.72% │ 15.49% │ 08.43% │ 06.66%,→002.84% │ →000.20% │ ←005.70% │ →005.02% │ ←000.45%,24.96%,63.66%,11.39%,←075.38% │ →007.10% │ →058.13%,49.91%,50.09%,49.74%,50.26%,29077825266.92,29181326097.87,8591689445,8681321008,6626625683,1438345188,1443635495,3564637102,3616636870
wgofb,dnrel,__zxk,vpm__,hitas,jucyq,dnrelhitas,1175.412405,17.71%,←001.14%,37.50%,←001.02%,59132571266.56,←000.34%,←000.62%,1.74,→000.29%,1.73,1.74,07.45% │ 08.96% │ 11.64% │ 12.85% │ 09.18%,08.89% │ 12.43% │ 11.31% │ 09.61% │ 07.69%,05.51% │ 09.54% │ 14.22% │ 14.35% │ 06.63%,05.99% │ 12.51% │ 14.73% │ 09.97% │ 06.55%,→003.02% │ →006.78% │ ←002.94% │ ←003.41% │ ←003.34%,25.15%,62.97%,11.88%,←159.15% │ →007.05% │ →084.41%,50.08%,49.92%,50.25%,49.75%,29616190275.55,29516380991.01,8680340986,8592669467,6478048133,1538199536,1520935596,3676208942,3653642580
wgofb,lnred,__zxk,vpm__,hitas,jucyq,lnredhitas,1174.691712,17.71%,←001.14%,37.50%,←001.02%,59244527671.84,←000.72%,←000.62%,1.74,→000.29%,1.73,1.74,07.82% │ 08.94% │ 11.62% │ 12.78% │ 09.02%,08.87% │ 12.40% │ 11.28% │ 09.59% │ 07.67%,05.96% │ 09.54% │ 14.22% │ 14.35% │ 06.19%,05.99% │ 12.51% │ 14.73% │ 09.97% │ 06.55%,←001.93% │ →006.78% │ ←002.94% │ ←003.02% │ ←001.73%,25.08%,63.07%,11.86%,←158.80% │ →006.38% │ →084.43%,50.18%,49.82%,50.25%,49.75%,29728146680.83,29516380991.01,8680340986,8592669467,6478048133,1538199536,1520935596,3676208942,3653642580
_bhmp,notic,__vfj,qduz_,lreas,wgkyx,noticlreas,1174.296175,18.17%,→000.48%,37.84%,→002.75%,57224311994.32,←000.58%,→001.24%,1.73,←001.12%,1.74,1.72,08.90% │ 09.53% │ 11.28% │ 12.20% │ 08.24%,08.67% │ 11.92% │ 11.00% │ 09.94% │ 08.32%,07.49% │ 09.18% │ 14.55% │ 12.38% │ 05.70%,06.06% │ 12.40% │ 15.49% │ 10.10% │ 06.64%,←006.87% │ →004.16% │ ←002.54% │ ←002.34% │ →004.92%,22.75%,64.04%,13.21%,←072.81% │ →003.94% │ →050.78%,50.15%,49.85%,49.30%,50.70%,28695320897.16,28528991097.16,8516167452,8756843001,6536234654,1565325963,1572798287,3613092306,3658572695
_bhmp,notic,__vfj,yluq_,dreas,zgkwx,noticdreas,1173.986671,18.22%,→001.00%,37.84%,→002.75%,57170491658.33,←000.77%,→001.24%,1.73,←001.12%,1.74,1.72,08.90% │ 09.54% │ 11.29% │ 12.21% │ 08.25%,08.58% │ 12.45% │ 10.94% │ 09.52% │ 08.33%,07.49% │ 09.18% │ 14.55% │ 12.38% │ 05.70%,05.66% │ 12.85% │ 15.49% │ 10.06% │ 06.64%,←006.92% │ ←000.19% │ ←003.19% │ →001.87% │ →003.81%,26.08%,63.47%,10.45%,←023.82% │ →002.07% │ →028.38%,50.19%,49.81%,49.30%,50.70%,28695320897.16,28475170761.17,8516167452,8756843001,6536234654,1565325963,1581179571,3613092306,3658572695
wgofb,dnrel,__qkx,jyc__,hatis,vumpz,dnrelhatis,1172.690485,17.56%,←001.57%,37.53%,←000.90%,58910252586.83,→000.68%,←000.30%,1.74,→000.44%,1.73,1.74,07.48% │ 08.97% │ 11.62% │ 13.37% │ 08.38%,08.81% │ 12.84% │ 11.02% │ 09.70% │ 07.80%,05.51% │ 09.54% │ 14.19% │ 14.90% │ 06.08%,05.99% │ 12.75% │ 14.73% │ 09.73% │ 06.58%,→004.04% │ →007.48% │ ←005.46% │ ←004.11% │ →004.86%,24.04%,63.28%,12.67%,←210.81% │ →008.16% │ →088.13%,49.83%,50.17%,50.22%,49.78%,29355242352.77,29555010234.06,8675314654,8597695799,6482744457,1528399749,1504735213,3667991765,3657163433
ybudq,mnear,kfx__,vwlpz,hitos,_cgj_,mnearhitos,1171.871910,17.32%,→000.46%,38.58%,←000.04%,58841173863.11,←000.87%,←001.14%,1.71,←000.77%,1.71,1.70,07.45% │ 10.52% │ 11.02% │ 12.04% │ 09.19%,08.95% │ 12.61% │ 10.61% │ 10.05% │ 07.56%,05.05% │ 11.30% │ 14.94% │ 12.09% │ 06.63%,05.76% │ 12.61% │ 15.11% │ 09.94% │ 06.58%,→001.47% │ ←004.64% │ ←003.87% │ →004.51% │ ←002.63%,24.25%,65.06%,10.69%,←023.58% │ ←001.03% │ →037.38%,50.22%,49.78%,50.01%,49.99%,29548047164.08,29293126699.03,8638422145,8634588308,6663486237,1492808454,1499643355,3592477798,3551935620
wgofb,lnred,__qxk,jyc__,hatis,vumpz,lnredhatis,1171.767242,17.56%,←001.57%,37.53%,←000.90%,59241267463.08,←000.44%,←000.30%,1.74,→000.44%,1.73,1.74,07.82% │ 08.94% │ 11.58% │ 12.75% │ 09.02%,08.76% │ 12.77% │ 10.96% │ 09.64% │ 07.75%,05.96% │ 09.54% │ 14.19% │ 14.35% │ 06.19%,05.99% │ 12.75% │ 14.73% │ 09.73% │ 06.58%,←000.87% │ →007.28% │ ←005.61% │ →000.14% │ ←002.98%,23.90%,63.27%,12.83%,←210.60% │ →007.12% │ →086.10%,50.11%,49.89%,50.22%,49.78%,29686257229.02,29555010234.06,8675314654,8597695799,6482744457,1528399749,1504735213,3667991765,3657163433
ybudq,mnear,kfx__,vwlpz,hotis,_cgj_,mnearhotis,1170.696370,17.32%,→000.46%,38.58%,←000.04%,58962758104.02,←000.45%,←001.14%,1.71,←000.77%,1.71,1.70,07.44% │ 10.50% │ 11.00% │ 12.02% │ 09.17%,08.92% │ 12.44% │ 10.82% │ 10.05% │ 07.65%,05.05% │ 11.30% │ 14.94% │ 12.09% │ 06.63%,05.76% │ 12.58% │ 15.11% │ 09.96% │ 06.58%,→002.79% │ ←004.48% │ ←001.57% │ →003.41% │ ←002.73%,24.17%,65.28%,10.54%,←023.87% │ →000.06% │ →036.21%,50.11%,49.89%,50.01%,49.99%,29548047164.08,29414710939.94,8638422145,8634588308,6663486237,1492808454,1499643355,3592477798,3551935620
