keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_pumy,hterc,kqzdv,bfow_,lains,_gxj_,hterclains,1187.371288,16.89%,←000.25%,37.39%,←001.65%,57722786012.51,←000.71%,→000.55%,1.74,→001.60%,1.73,1.76,07.35% │ 09.33% │ 12.83% │ 11.88% │ 08.79%,08.62% │ 11.95% │ 12.63% │ 08.95% │ 07.68%,05.43% │ 11.04% │ 14.88% │ 12.96% │ 06.11%,05.89% │ 12.51% │ 15.34% │ 09.41% │ 06.45%,→004.26% │ ←004.24% │ ←001.56% │ →000.57% │ ←001.99%,26.49%,63.04%,10.47%,→023.39% │ →001.95% │ ←149.66%,50.18%,49.82%,50.41%,49.59%,28962962874.34,28759823138.17,8707116483,8565893970,6457569108,1460673094,1456959522,3665104073,3685226474
_pumk,hterc,vzqdy,bfow_,lains,_gxj_,hterclains,1187.214174,16.89%,←000.26%,37.39%,←001.65%,57713178875.08,←000.67%,→000.55%,1.74,→001.60%,1.73,1.76,07.78% │ 09.38% │ 12.81% │ 11.88% │ 08.32%,08.62% │ 11.95% │ 12.63% │ 08.96% │ 07.68%,05.76% │ 11.07% │ 14.85% │ 12.96% │ 05.78%,05.89% │ 12.51% │ 15.34% │ 09.41% │ 06.45%,←001.28% │ ←004.71% │ ←001.39% │ →000.55% │ →003.42%,24.89%,63.05%,12.06%,→034.10% │ →001.95% │ ←202.81%,50.17%,49.83%,50.41%,49.59%,28953355736.91,28759823138.17,8707116483,8565893970,6457569108,1460815608,1456959522,3665104073,3685226474
_mpuj,hterd,vzkcy,wfob_,linas,_gqx_,hterdlinas,1186.787353,16.53%,←001.13%,37.53%,←002.18%,58021532297.22,←001.39%,←000.07%,1.74,→001.53%,1.72,1.75,07.62% │ 09.87% │ 12.65% │ 12.06% │ 08.15%,08.57% │ 11.56% │ 12.48% │ 09.39% │ 07.65%,05.76% │ 11.53% │ 14.86% │ 12.64% │ 05.76%,05.96% │ 11.82% │ 15.15% │ 10.08% │ 06.45%,→000.37% │ ←005.07% │ ←001.38% │ ←004.34% │ →005.00%,23.83%,64.06%,12.11%,→038.65% │ →000.91% │ ←247.19%,50.35%,49.65%,50.54%,49.46%,29211713889.29,28809818407.93,8729667683,8543342770,6482828789,1435361974,1419318717,3663769312,3661301554
_pumy,hterc,kxzdv,bfow_,linas,_gqj_,hterclinas,1186.002340,16.88%,←002.14%,37.34%,←002.02%,57846444019.71,←000.85%,←000.31%,1.74,→001.25%,1.73,1.75,07.34% │ 09.52% │ 12.72% │ 11.85% │ 08.78%,08.61% │ 11.41% │ 12.56% │ 09.53% │ 07.67%,05.43% │ 11.13% │ 14.88% │ 12.96% │ 06.11%,05.89% │ 11.82% │ 15.15% │ 10.19% │ 06.45%,→004.35% │ →000.13% │ ←001.29% │ ←003.84% │ ←001.98%,26.29%,63.37%,10.35%,→023.15% │ →002.96% │ ←174.17%,50.21%,49.79%,50.50%,49.50%,29045977114.37,28800466905.34,8723026108,8549984345,6449431820,1473302528,1442402738,3684852465,3673615370
_pumk,hterc,vxzdy,bfow_,linas,_gqj_,hterclinas,1185.727203,16.88%,←002.11%,37.34%,←002.02%,57832841377.92,←000.81%,←000.31%,1.74,→001.25%,1.73,1.75,07.76% │ 09.53% │ 12.74% │ 11.86% │ 08.31%,08.61% │ 11.42% │ 12.57% │ 09.54% │ 07.67%,05.76% │ 11.13% │ 14.88% │ 12.96% │ 05.78%,05.89% │ 11.82% │ 15.15% │ 10.19% │ 06.45%,←001.18% │ →000.07% │ ←001.37% │ ←003.86% │ →003.43%,24.68%,63.39%,11.93%,→034.01% │ →002.93% │ ←231.41%,50.20%,49.80%,50.50%,49.50%,29032374472.58,28800466905.34,8723026108,8549984345,6449431820,1472823398,1442402738,3684852465,3673615370
_pumy,hterc,kxzdv,wfob_,linas,_gqj_,hterclinas,1185.694715,16.88%,←002.14%,37.34%,←002.02%,57934405502.85,←000.55%,←000.31%,1.74,→001.25%,1.73,1.75,07.33% │ 09.51% │ 12.70% │ 11.83% │ 08.77%,08.59% │ 11.56% │ 12.57% │ 09.48% │ 07.66%,05.43% │ 11.13% │ 14.88% │ 12.96% │ 06.11%,05.96% │ 11.82% │ 15.15% │ 10.12% │ 06.45%,→004.35% │ ←000.24% │ ←001.08% │ ←002.32% │ ←002.08%,26.26%,63.41%,10.33%,→023.23% │ →003.37% │ ←174.28%,50.14%,49.86%,50.50%,49.50%,29045977114.37,28888428388.48,8723026108,8549984345,6449431820,1473302528,1442402738,3684852465,3673615370
_mpuj,hterd,vqkcy,wfob_,linas,_gzx_,hterdlinas,1185.190197,16.78%,←001.27%,37.38%,←002.06%,58075315113.96,←001.19%,→000.25%,1.74,→001.69%,1.73,1.76,07.61% │ 09.82% │ 12.60% │ 12.13% │ 08.14%,08.57% │ 11.56% │ 12.54% │ 09.40% │ 07.64%,05.76% │ 11.50% │ 14.86% │ 12.64% │ 05.76%,05.96% │ 11.82% │ 15.18% │ 10.08% │ 06.45%,→000.41% │ ←004.45% │ ←000.51% │ ←004.93% │ →005.03%,23.90%,63.99%,12.11%,→038.16% │ →001.15% │ ←239.02%,50.29%,49.71%,50.51%,49.49%,29208763856.88,28866551257.08,8724641351,8548369102,6455952933,1458440637,1440083270,3671338225,3680608497
_mpuy,hterd,vzkcx,wfob_,linas,_gqj_,hterdlinas,1184.254084,16.82%,←001.48%,37.34%,←002.02%,58124909412.02,←001.20%,←000.31%,1.74,→001.25%,1.73,1.75,07.61% │ 09.88% │ 12.65% │ 11.99% │ 08.17%,08.56% │ 11.53% │ 12.53% │ 09.45% │ 07.63%,05.76% │ 11.53% │ 14.86% │ 12.64% │ 05.72%,05.96% │ 11.82% │ 15.15% │ 10.12% │ 06.45%,→000.33% │ ←004.46% │ ←001.01% │ ←003.99% │ →004.48%,26.35%,63.98%,09.66%,→022.05% │ →000.93% │ ←151.31%,50.30%,49.70%,50.50%,49.50%,29236481023.54,28888428388.48,8723026108,8549984345,6449431820,1463765950,1442402738,3684852465,3673615370
_mpub,hterd,vjzck,wfog_,lanis,_yqx_,hterdlanis,1181.924704,16.45%,←000.45%,37.43%,←001.84%,58876202971.75,←001.26%,←001.20%,1.74,→000.46%,1.74,1.74,07.51% │ 09.83% │ 12.19% │ 12.19% │ 08.59%,08.36% │ 11.52% │ 12.55% │ 09.68% │ 07.57%,05.76% │ 11.63% │ 14.24% │ 12.64% │ 06.19%,05.96% │ 12.16% │ 15.15% │ 09.83% │ 06.45%,→000.71% │ ←001.47% │ →002.83% │ ←005.78% │ ←002.70%,26.61%,63.68%,09.71%,→027.68% │ ←001.48% │ ←167.91%,50.31%,49.69%,50.46%,49.54%,29622143736.29,29254059235.46,8715179642,8557830811,6464440843,1424112205,1417688476,3693649277,3649809535
_mpub,hterd,vxzck,wfog_,lanis,_yqj_,hterdlanis,1181.422593,16.64%,→000.15%,37.25%,←001.68%,58920364312.25,←000.97%,←001.44%,1.74,→000.18%,1.74,1.75,07.51% │ 09.82% │ 12.21% │ 12.12% │ 08.58%,08.36% │ 11.53% │ 12.61% │ 09.70% │ 07.56%,05.76% │ 11.59% │ 14.24% │ 12.64% │ 06.19%,05.96% │ 12.16% │ 15.15% │ 09.87% │ 06.45%,→000.68% │ ←001.24% │ →003.19% │ ←005.12% │ ←002.70%,26.64%,63.66%,09.71%,→028.10% │ ←001.51% │ ←163.06%,50.24%,49.76%,50.42%,49.58%,29602594484.79,29317769827.46,8708538067,8564472386,6434036776,1436171085,1438376353,3713235979,3660626900
