keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_c1_ratio,left_c2_ratio,left_c3_ratio,left_c4_ratio,left_c5_ratio,right_c1_ratio,right_c2_ratio,right_c3_ratio,right_c4_ratio,right_c5_ratio,top_row_ratio,home_row_ratio,bottom_row_ratio,left_row_balance,home_row_balance,bottom_row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,left_top_row_ratio,left_home_row_ratio,left_bottom_row_ratio,right_top_row_ratio,right_home_row_ratio,right_bottom_row_ratio
ql_p_,arenb,zw_hj,_fudk,gsito,vcymx,arensito-2,32.998365,19.64%,→23.29%,40.92%,→3.46%,58867180884.28,→6.47%,←4.49%,1.64,←5.20%,1.68,1.60,10.90%,13.69%,8.09%,13.29%,2.37%,4.26%,11.19%,10.07%,14.84%,11.31%,20.50%,60.20%,19.30%,→28.99%,←12.93%,→30.87%,48.33%,51.67%,49.12%,50.88%,28449958108.60,30417222775.68,8484507339,8788503114,7068455805,1472873525,1920164630,3443747159,3295696691,8.51%,31.93%,7.89%,11.99%,28.27%,11.41%
_ql_p,arenb,zwhj_,_fudk,gsito,vcymx,arensito-1*,32.804296,19.64%,→23.29%,40.92%,→3.46%,59342858577.77,→4.90%,←4.49%,1.64,←5.20%,1.68,1.60,10.77%,8.08%,18.93%,5.73%,5.23%,4.23%,11.10%,9.99%,14.72%,11.22%,20.02%,60.89%,19.08%,→31.61%,←17.11%,→31.39%,48.74%,51.26%,49.12%,50.88%,28925635802.09,30417222775.68,8484507339,8788503114,7068455805,1472873525,1920164630,3443747159,3295696691,8.13%,32.85%,7.77%,11.89%,28.05%,11.32%
_pouj,iheak,___fy,gdlwq,mtsrn,bvcxz,kaehi,20.020976,13.16%,←31.16%,55.18%,→0.56%,54444471439.98,→8.17%,←27.31%,1.33,←8.43%,1.39,1.28,4.31%,13.24%,14.57%,6.29%,9.46%,9.38%,7.62%,11.92%,13.35%,9.86%,30.86%,54.38%,14.76%,→5.20%,→2.73%,→30.76%,47.87%,52.13%,49.86%,50.14%,26062829172.96,28381642267.02,8612079163,8660931290,9531992112,1289604996,983247756,2394787869,1881119674,15.02%,26.81%,6.04%,15.84%,27.57%,8.72%
k_uyp,oaeid,q___z,wlmfc,rnths,xvgbj,klausler,17.193938,10.42%,→17.62%,55.42%,→11.98%,57210397972.02,→24.01%,→19.55%,1.32,→2.87%,1.30,1.34,10.54%,6.53%,8.90%,8.17%,9.04%,11.30%,12.03%,9.90%,9.72%,13.87%,28.93%,63.98%,7.09%,→44.52%,←2.99%,→94.12%,43.18%,56.82%,46.81%,53.19%,24703077071.50,32507320900.52,8086192750,9186817703,9572695862,812911559,986788961,1888148799,2347054994,10.33%,32.46%,0.39%,18.61%,31.52%,6.69%
pbulm,_ieoh,___kg,frywq,ntasd,jvcxz,carpax-qwyrfm,17.171140,17.74%,←37.53%,45.73%,→7.65%,61798365792.59,→2.88%,←2.09%,1.52,←5.37%,1.56,1.48,12.61%,12.53%,12.20%,8.35%,3.57%,5.02%,7.01%,10.64%,15.61%,12.44%,31.89%,58.35%,9.76%,←21.86%,→8.43%,→34.49%,49.27%,50.73%,48.01%,51.99%,30448351727.61,31350014064.98,8292793906,8980216547,7898151172,1774521525,1290285746,2985444121,2924304362,17.52%,27.89%,3.86%,14.37%,30.46%,5.90%
juof_,ieahy,___pk,zwdlb,gstrn,vcmxq,graphite,16.170233,11.05%,←35.22%,55.18%,→0.56%,54273882997.34,→5.24%,←27.31%,1.33,←8.43%,1.39,1.28,3.64%,8.96%,12.06%,14.07%,9.91%,12.07%,11.05%,11.82%,11.34%,5.07%,30.13%,56.12%,13.75%,→0.89%,←11.00%,→57.04%,48.65%,51.35%,49.86%,50.14%,26406146528.64,27867736468.70,8612079163,8660931290,9531992112,1097459201,811607699,2394787869,1881119674,15.00%,29.52%,4.13%,15.13%,26.60%,9.62%
qhou_,jieay,xk___,glrfb,dtsnp,vmcwz,breakl-43,13.032027,13.22%,→11.09%,57.37%,→15.44%,53469661523.23,→28.15%,→19.92%,1.29,→1.57%,1.28,1.30,0.85%,13.33%,15.25%,9.99%,2.38%,11.20%,15.77%,14.69%,10.67%,5.86%,39.26%,47.40%,13.34%,→23.03%,→3.46%,→87.79%,41.81%,58.19%,45.82%,54.18%,22355777315.69,31113884207.54,7914015361,9358995092,9908937763,1075093918,1209227148,1733774178,2165187714,17.08%,23.28%,1.45%,22.19%,24.12%,11.89%
_qohj,uaenb,___lz,kmgcy,wtisr,vdpfx,neauwr-bits,12.920198,18.28%,←40.78%,46.90%,→3.56%,55939610156.07,→14.66%,←16.40%,1.49,←9.73%,1.57,1.43,2.77%,16.67%,15.50%,7.33%,3.78%,11.77%,12.38%,10.47%,14.19%,5.14%,27.44%,54.89%,17.66%,→4.97%,→2.99%,→53.05%,46.05%,53.95%,49.09%,50.91%,25757777969.22,30181832186.85,8479826103,8793184350,8101708201,1846565190,1311653530,3069327046,2636864408,13.37%,27.03%,5.64%,14.07%,27.86%,12.02%
byou_,ciae_,gxjk_,zldwv,qhtsn,_rmfp,engrammer*,10.210394,13.13%,←32.00%,54.28%,→7.56%,55045174447.89,→11.56%,←0.24%,1.35,←2.84%,1.37,1.33,10.66%,8.84%,12.56%,14.86%,0.00%,0.34%,16.11%,12.05%,10.32%,14.23%,31.10%,46.38%,22.52%,←21.22%,←15.23%,→71.01%,46.93%,53.07%,48.04%,51.96%,25834858658.23,29210315789.66,8297409136,8975601317,9375504312,1290462500,977618725,2218832941,2213562402,17.04%,24.83%,5.06%,14.06%,21.55%,17.46%
_uofj,ieahy,___pk,vcdlb,gstrn,zwmqx,gallium-rowstag,10.166177,10.76%,←44.14%,55.18%,→0.56%,54320170762.39,→5.80%,←27.31%,1.33,←8.43%,1.39,1.28,4.01%,8.95%,12.03%,14.03%,9.49%,12.18%,10.87%,11.95%,11.44%,5.05%,33.76%,56.18%,10.05%,→20.86%,←10.27%,→30.34%,48.51%,51.49%,49.86%,50.14%,26349009588.21,27971161174.18,8612079163,8660931290,9531992112,1097459201,761383785,2394787869,1881119674,14.92%,29.46%,4.13%,18.85%,26.72%,5.93%
pjiuy,_leoh,___mg,frkwq,ntasd,bvcxz,carpax-qwkrfy,10.048864,19.46%,←45.31%,46.50%,→9.24%,61555427426.97,→9.41%,→4.27%,1.50,←2.72%,1.52,1.48,11.21%,13.17%,15.65%,3.87%,3.63%,5.04%,7.06%,10.06%,15.82%,14.48%,31.32%,54.52%,14.16%,←27.87%,→23.14%,→20.70%,47.53%,52.47%,47.58%,52.42%,29258043529.66,32297383897.31,8218111625,9054898828,8031920141,1990624348,1369877744,2825006548,2950972966,17.58%,23.69%,6.26%,13.75%,30.83%,7.90%
_uogj,ieamy,___cw,vbldf,knrts,phxqz,stronk,9.417569,17.00%,←47.33%,52.56%,→0.90%,56597996719.57,→1.34%,←19.67%,1.38,←7.36%,1.43,1.33,5.40%,8.92%,12.66%,13.43%,9.24%,11.51%,12.22%,7.80%,12.80%,6.01%,31.07%,52.31%,16.62%,→8.58%,←13.51%,→26.96%,49.66%,50.34%,49.77%,50.23%,28108605649.20,28489391070.37,8597442950,8675567503,9077841055,1749206654,1187282499,2576776185,2153282415,14.84%,27.81%,7.01%,16.23%,24.50%,9.60%
_yumk,oienf,___hb,pdlwq,gtrsa,jvcxz,soul,9.215441,16.94%,←45.40%,45.32%,←3.77%,58264966637.33,←0.43%,←26.01%,1.53,←10.77%,1.61,1.45,6.85%,14.49%,11.01%,8.48%,9.28%,10.96%,7.51%,12.57%,12.60%,6.26%,24.67%,61.42%,13.90%,→31.86%,←11.19%,←26.62%,50.11%,49.89%,50.93%,49.07%,29194307253.16,29070659384.17,8796290424,8476720029,7827463791,1734133350,1192658740,3334348889,2646086975,10.00%,32.34%,7.77%,14.67%,29.08%,6.13%
_lkuy,eoinh,___mj,frpwq,gtdsa,bvcxz,qwpr,8.161389,16.08%,←8.21%,46.48%,←6.68%,61421494101.33,←2.89%,←48.73%,1.50,←17.90%,1.63,1.39,8.26%,11.82%,4.69%,11.28%,14.66%,10.49%,7.20%,7.39%,16.31%,7.89%,27.28%,61.43%,11.29%,→20.24%,←34.48%,→57.31%,50.71%,49.29%,51.62%,48.38%,31148933923.95,30272560177.38,8915638922,8357371531,8027754532,1443658523,1334182333,3456302484,2323842639,12.10%,35.23%,3.38%,15.18%,26.20%,7.91%
jbouy,_heai,___kp,wlmfq,rntsd,xcgvz,qfmlwy,8.094159,11.53%,←49.86%,55.67%,→2.79%,55115428295.91,→2.94%,←22.80%,1.32,←7.76%,1.37,1.27,16.93%,11.45%,14.97%,5.49%,0.41%,5.16%,9.36%,9.44%,15.16%,11.63%,30.54%,55.82%,13.64%,←28.51%,→4.18%,→46.29%,49.26%,50.74%,49.29%,50.71%,27147218140.27,27968210155.64,8514237914,8758772539,9615047638,1194176516,796866709,2310993092,1881858925,17.17%,27.31%,4.77%,13.36%,28.51%,8.87%
ypouj,inea_,qz___,kdlcw,mhtsr,bfgvx,mtgap-1,7.666582,10.59%,←21.43%,52.48%,→0.15%,54047912095.57,→6.95%,←33.38%,1.38,←11.51%,1.46,1.31,12.73%,11.84%,13.28%,9.96%,0.39%,7.42%,10.50%,11.21%,11.07%,11.60%,35.56%,54.45%,9.99%,←1.64%,←21.58%,→95.86%,48.20%,51.80%,49.96%,50.04%,26051750788.73,27996161306.84,8630238214,8642772239,9065049339,1003529086,826397649,2710564612,2032285704,17.93%,29.88%,0.40%,17.64%,24.57%,9.59%
byou_,hiae_,kjxw_,qdngv,ztrsc,_mlfp,engram-v2025*,6.881803,12.30%,←35.27%,54.82%,→3.81%,54613129711.17,→4.70%,←14.24%,1.34,←5.94%,1.38,1.30,9.87%,9.26%,12.83%,16.84%,0.00%,0.34%,14.75%,15.77%,10.89%,9.45%,33.36%,47.65%,18.98%,←1.83%,←40.87%,→72.49%,48.80%,51.20%,49.03%,50.97%,26649950358.82,27963179352.35,8468735032,8804275421,9469081483,1221373227,902882435,2313648671,2025169501,16.83%,27.87%,4.10%,16.53%,19.78%,14.89%
_uofj,ieah_,_y_mk,zwdlq,gstrn,vcbxp,graphyre-standard,6.101642,13.97%,←52.79%,53.51%,←1.27%,54810305367.59,→3.11%,←33.59%,1.36,←10.39%,1.43,1.29,1.65%,9.56%,12.11%,16.41%,9.48%,12.49%,11.55%,10.52%,11.21%,5.01%,27.35%,54.02%,18.64%,←17.94%,←2.01%,→37.97%,49.21%,50.79%,50.32%,49.68%,26972120578.91,27838184788.68,8691098507,8581911946,9242456063,1458369397,954511503,2610989557,1954454035,14.80%,27.28%,7.13%,12.55%,26.74%,11.50%
fulvb,sehtw,z_mpk,qgnoj,ydrai,_cx__,seht-drai-ortho,5.071665,22.28%,→37.56%,38.73%,←4.65%,61082042324.46,←3.85%,→2.73%,1.70,→5.00%,1.66,1.75,11.03%,15.16%,9.14%,10.13%,5.48%,2.32%,9.35%,12.68%,15.83%,8.87%,35.53%,53.33%,11.13%,→29.26%,←22.82%,←58.34%,50.94%,49.06%,51.14%,48.86%,31117351583.39,29964690741.07,8832800315,8440210138,6689353627,1478950335,2368646667,3510088039,3608457989,14.72%,29.40%,6.82%,20.81%,23.93%,4.31%
jduq_,oiea_,ykxpg,zbrlw,_tnhs,_cvmf,halmak,4.548434,15.73%,←65.39%,54.98%,→3.31%,55029073257.04,→6.57%,←6.44%,1.33,←3.25%,1.35,1.31,3.51%,9.41%,9.82%,12.70%,12.86%,14.33%,13.57%,10.60%,13.00%,0.21%,26.13%,51.16%,22.72%,→46.01%,←27.53%,→14.55%,48.30%,51.70%,49.16%,50.84%,26579546809.25,28449526447.79,8491096662,8781913791,9496029977,1693537935,1023939621,2223166190,2088703488,9.16%,28.67%,10.47%,16.97%,22.48%,12.25%
_joyk,iaeuw,___fv,zmhcq,gtnsr,pdlbx,hands-down-referece,4.487668,17.18%,→1.99%,53.31%,→15.50%,54705098583.45,→20.41%,→27.25%,1.36,→5.24%,1.32,1.40,5.63%,7.66%,14.12%,7.27%,9.65%,8.86%,11.82%,13.69%,14.53%,6.78%,25.21%,53.47%,21.32%,→11.24%,←4.44%,→68.17%,44.32%,55.68%,45.80%,54.20%,24244411024.09,30460687559.36,7911191672,9361818781,9208336372,1468776455,1498647923,1937043420,2662519863,11.85%,27.32%,5.15%,13.35%,26.16%,16.17%
_uoxq,ieahm,___lj,gfdpw,ystnr,vckbz,blaze-colstag,4.383721,14.69%,←49.52%,51.95%,←0.96%,55280219956.91,→1.25%,←51.01%,1.39,←16.71%,1.50,1.29,4.46%,9.14%,12.43%,14.25%,9.41%,11.48%,10.31%,8.99%,11.63%,7.90%,28.20%,56.89%,14.91%,→21.68%,←23.33%,→34.85%,49.68%,50.32%,50.24%,49.76%,27465667929.85,27814552027.06,8677595867,8595414586,8972759665,1520134710,1016669854,2908845206,1926294784,12.38%,31.42%,5.88%,15.81%,25.47%,9.03%
