keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
jgcuk,sntih,_vmpx,bof__,ldear,qzwy_,sntihldear,1157.463889,16.53%,→000.09%,38.83%,←000.61%,58927642595.10,→000.72%,←002.14%,1.70,←001.06%,1.71,1.69,07.94% │ 09.95% │ 10.95% │ 12.62% │ 08.36%,08.63% │ 12.27% │ 11.05% │ 09.86% │ 08.38%,06.68% │ 10.62% │ 14.73% │ 12.51% │ 05.62%,05.99% │ 11.51% │ 15.85% │ 09.97% │ 06.53%,→005.25% │ ←000.99% │ →000.94% │ ←002.84% │ →003.09%,25.21%,62.33%,12.46%,→019.99% │ ←000.60% │ ←044.06%,49.82%,50.18%,50.15%,49.85%,29356695677.34,29570946917.76,8662624154,8610386299,6706823752,1427256918,1428545816,3588114094,3512961809
_bmuy,lnead,vwkfz,_copj,risth,_gxq_,lneadristh,1157.142574,17.52%,←000.75%,38.89%,←001.43%,58074735956.94,←000.90%,←000.72%,1.70,→000.49%,1.69,1.70,06.91% │ 10.01% │ 11.75% │ 12.76% │ 08.80%,08.94% │ 13.19% │ 11.27% │ 09.82% │ 06.55%,05.34% │ 10.80% │ 15.32% │ 13.24% │ 05.66%,06.53% │ 12.97% │ 14.20% │ 11.04% │ 04.91%,←005.44% │ ←001.85% │ ←004.22% │ →003.21% │ →001.62%,26.29%,63.45%,10.26%,→028.43% │ ←000.75% │ ←160.37%,50.22%,49.78%,50.35%,49.65%,29166744471.01,28907991485.93,8697764303,8575246150,6717747573,1518540122,1507176688,3557758626,3532393456
jbcuk,sntih,_ympx,wof__,ldear,zqvg_,sntihldear,1156.763492,15.34%,→001.25%,39.68%,←001.40%,58753766671.88,→000.79%,→001.51%,1.67,→001.94%,1.66,1.69,08.01% │ 10.01% │ 11.01% │ 12.50% │ 08.27%,08.68% │ 12.16% │ 10.94% │ 09.99% │ 08.44%,06.68% │ 10.81% │ 14.73% │ 12.51% │ 05.62%,06.09% │ 11.48% │ 15.23% │ 10.32% │ 06.53%,→005.09% │ ←000.26% │ ←000.63% │ ←002.80% │ →004.64%,24.43%,62.74%,12.83%,→026.28% │ →001.84% │ ←086.82%,49.80%,50.20%,50.35%,49.65%,29260365962.10,29493400709.78,8696417387,8576593066,6853866978,1316363325,1333025617,3450529915,3503502762
_bmuy,lnead,vwkfz,_copj,risth,_gqx_,lneadristh,1155.952454,17.52%,←000.75%,38.89%,←001.43%,58093085891.32,←000.83%,←000.72%,1.70,→000.49%,1.69,1.70,06.91% │ 10.00% │ 11.74% │ 12.76% │ 08.79%,08.94% │ 13.18% │ 11.16% │ 09.96% │ 06.55%,05.34% │ 10.80% │ 15.32% │ 13.24% │ 05.66%,06.53% │ 12.97% │ 14.11% │ 11.13% │ 04.91%,←005.43% │ ←000.42% │ ←005.26% │ →003.23% │ →001.62%,26.29%,63.45%,10.26%,→028.49% │ ←000.71% │ ←159.89%,50.21%,49.79%,50.35%,49.65%,29166744471.01,28926341420.31,8697764303,8575246150,6717747573,1518540122,1507176688,3557758626,3532393456
_bmuy,lnead,vwkfq,_copj,risth,_gxz_,lneadristh,1155.712329,17.69%,←000.85%,38.81%,←001.31%,58097135127.90,←000.67%,←000.38%,1.70,→000.64%,1.69,1.70,06.91% │ 10.00% │ 11.69% │ 12.84% │ 08.74%,08.94% │ 13.19% │ 11.28% │ 09.87% │ 06.55%,05.34% │ 10.80% │ 15.32% │ 13.24% │ 05.63%,06.53% │ 12.97% │ 14.20% │ 11.07% │ 04.91%,←005.38% │ ←001.33% │ ←003.62% │ →002.71% │ →002.24%,26.40%,63.35%,10.25%,→027.77% │ ←000.41% │ ←154.18%,50.17%,49.83%,50.33%,49.67%,29145959254.87,28951175873.03,8692737971,8580272482,6703918101,1534041979,1521070239,3558804347,3545177207
jpuck,snith,_vmbz,wof__,dlear,xqgy_,snithdlear,1154.140511,15.06%,→000.41%,40.05%,→001.36%,58461862640.72,→000.94%,→002.31%,1.66,→000.64%,1.66,1.67,07.99% │ 09.71% │ 10.93% │ 12.67% │ 08.47%,08.18% │ 12.84% │ 11.23% │ 09.48% │ 08.50%,06.68% │ 10.71% │ 12.97% │ 13.74% │ 05.55%,05.71% │ 11.93% │ 16.21% │ 09.97% │ 06.53%,→005.98% │ ←002.41% │ →002.71% │ →001.38% │ ←003.53%,25.57%,62.53%,11.90%,→019.31% │ ←003.61% │ ←021.43%,49.76%,50.24%,49.66%,50.34%,29092863250.03,29368999390.69,8577286318,8695724135,6918160251,1297796283,1303077428,3404574689,3485164715
_bmuy,lnead,vwkfq,_crpj,sotih,_gzx_,lneadsotih,1153.959998,17.69%,←000.86%,38.81%,←001.31%,57853638459.97,←001.53%,←000.38%,1.70,→000.64%,1.69,1.70,06.94% │ 10.04% │ 11.73% │ 12.89% │ 08.77%,08.44% │ 13.22% │ 11.64% │ 09.78% │ 06.55%,05.34% │ 10.80% │ 15.32% │ 13.24% │ 05.63%,06.45% │ 12.94% │ 15.45% │ 09.93% │ 04.91%,←005.98% │ ←002.72% │ ←000.84% │ →002.53% │ ←003.99%,24.79%,65.03%,10.19%,→018.67% │ →003.86% │ ←163.89%,50.38%,49.62%,50.33%,49.67%,29145959254.87,28707679205.10,8692737971,8580272482,6703918101,1534041979,1521005744,3558804347,3545177207
jpcuk,snith,_vmbz,wof__,dlear,xqgy_,snithdlear,1153.876192,15.06%,→000.41%,40.05%,→001.36%,58474994757.81,→000.90%,→002.31%,1.66,→000.64%,1.66,1.67,08.06% │ 09.80% │ 11.26% │ 12.30% │ 08.35%,08.18% │ 12.84% │ 11.23% │ 09.48% │ 08.49%,06.68% │ 10.71% │ 13.52% │ 13.19% │ 05.55%,05.71% │ 11.93% │ 16.21% │ 09.97% │ 06.53%,→005.12% │ ←003.35% │ ←000.28% │ →004.20% │ ←002.14%,25.50%,62.57%,11.92%,→019.74% │ ←003.80% │ ←021.91%,49.78%,50.22%,49.66%,50.34%,29105995367.12,29368999390.69,8577286318,8695724135,6918160251,1297796283,1303077428,3404574689,3485164715
_bmuy,lnead,vwkfz,_crpj,sotih,_gqx_,lneadsotih,1153.801192,17.53%,←000.63%,38.89%,←001.43%,57833381931.35,←001.74%,←000.72%,1.70,→000.49%,1.69,1.70,06.94% │ 10.05% │ 11.80% │ 12.82% │ 08.83%,08.44% │ 13.22% │ 11.59% │ 09.77% │ 06.55%,05.34% │ 10.80% │ 15.32% │ 13.24% │ 05.66%,06.45% │ 12.94% │ 15.42% │ 09.93% │ 04.91%,←006.03% │ ←002.88% │ ←001.76% │ →003.08% │ ←004.65%,24.69%,65.12%,10.19%,→019.46% │ →003.52% │ ←170.46%,50.43%,49.57%,50.35%,49.65%,29166744471.01,28666637460.34,8697764303,8575246150,6717747573,1518540122,1509085009,3557758626,3532393456
_bmuy,lnead,vwkfq,_crpj,sotih,_gxz_,lneadsotih,1153.374286,17.69%,←000.86%,38.81%,←001.31%,57844598004.55,←001.56%,←000.38%,1.70,→000.64%,1.69,1.70,06.94% │ 10.04% │ 11.74% │ 12.89% │ 08.77%,08.44% │ 13.23% │ 11.70% │ 09.70% │ 06.55%,05.34% │ 10.80% │ 15.32% │ 13.24% │ 05.63%,06.45% │ 12.94% │ 15.52% │ 09.86% │ 04.91%,←005.98% │ ←003.54% │ ←000.31% │ →002.53% │ ←003.99%,24.78%,65.05%,10.18%,→018.58% │ →003.88% │ ←164.64%,50.39%,49.61%,50.33%,49.67%,29145959254.87,28698638749.68,8692737971,8580272482,6703918101,1534041979,1521005744,3558804347,3545177207
