keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_wgdb,notih,zxcvq,ylpuj,maesr,fk___,notihmaesr,1155.433043,17.72%,←000.36%,37.11%,←000.49%,59900582974.86,←000.82%,←001.17%,1.75,←000.51%,1.75,1.74,08.78% │ 09.21% │ 10.26% │ 12.65% │ 09.29%,09.53% │ 13.28% │ 09.73% │ 08.98% │ 08.27%,07.62% │ 09.44% │ 14.17% │ 12.49% │ 06.40%,06.49% │ 13.28% │ 14.12% │ 09.23% │ 06.76%,←006.17% │ ←002.64% │ ←005.40% │ →004.70% │ →002.50%,26.00%,63.91%,10.09%,→018.75% │ ←004.13% │ ←043.70%,50.21%,49.79%,50.12%,49.88%,30073131042.68,29827451932.18,8657583461,8615426992,6409635909,1532934188,1527504842,3720624163,3677639583
_ygdq,notih,zxcvw,blpuk,maers,fj___,notihmaers,1153.249664,18.17%,→000.74%,36.60%,←000.83%,60472737464.68,←000.43%,←000.04%,1.76,→000.60%,1.76,1.77,08.72% │ 09.11% │ 10.17% │ 12.68% │ 09.42%,09.06% │ 12.72% │ 09.96% │ 09.25% │ 08.90%,07.62% │ 09.46% │ 14.17% │ 12.49% │ 06.47%,06.41% │ 12.77% │ 14.12% │ 09.31% │ 07.19%,→001.95% │ →001.51% │ ←002.11% │ →000.37% │ ←004.02%,24.45%,63.86%,11.69%,→037.64% │ ←003.44% │ ←139.34%,50.11%,49.89%,50.21%,49.79%,30301274241.71,30171463222.97,8672071502,8600938951,6322058577,1563475489,1575195405,3743726837,3742114241
_wgdq,nitoh,zxcvy,blpuk,maers,fj___,nitohmaers,1152.486567,18.17%,→000.79%,36.60%,←000.83%,60401100016.63,←000.19%,←000.04%,1.76,→000.60%,1.76,1.77,08.81% │ 08.97% │ 10.46% │ 12.40% │ 09.41%,09.07% │ 12.74% │ 09.97% │ 09.26% │ 08.91%,07.62% │ 09.47% │ 14.17% │ 12.46% │ 06.48%,06.41% │ 12.77% │ 14.12% │ 09.31% │ 07.19%,→001.13% │ →003.16% │ ←004.89% │ →002.64% │ ←003.73%,24.34%,63.86%,11.80%,→038.50% │ ←003.20% │ ←141.90%,50.05%,49.95%,50.21%,49.79%,30229636793.66,30171463222.97,8672071502,8600938951,6322058577,1562718339,1575195405,3743726837,3742114241
_wgdj,notih,zxcvy,blpuk,maers,fq___,notihmaers,1152.159650,18.21%,←000.46%,36.56%,←001.35%,60318989270.71,←000.74%,←000.65%,1.77,→000.53%,1.76,1.77,08.73% │ 09.16% │ 10.20% │ 12.49% │ 09.61%,09.08% │ 12.57% │ 09.95% │ 09.29% │ 08.92%,07.62% │ 09.44% │ 14.17% │ 12.49% │ 06.61%,06.41% │ 12.64% │ 14.12% │ 09.31% │ 07.19%,→002.08% │ →001.47% │ ←002.43% │ →000.63% │ ←005.79%,24.66%,63.71%,11.62%,→036.79% │ ←002.88% │ ←152.13%,50.18%,49.82%,50.34%,49.66%,30270253699.10,30048735571.61,8694622702,8578387751,6315297942,1576456400,1569198610,3758402234,3734199479
_fgmq,nitoh,zxcvy,blupj,dreas,kw___,nitohdreas,1151.594934,17.75%,→000.90%,36.49%,→002.05%,58563271468.30,←001.94%,→001.22%,1.77,←000.65%,1.77,1.76,09.03% │ 09.85% │ 10.87% │ 11.18% │ 09.55%,08.93% │ 11.97% │ 10.44% │ 10.01% │ 08.17%,07.62% │ 09.97% │ 14.17% │ 11.24% │ 06.48%,06.19% │ 12.49% │ 14.75% │ 10.42% │ 06.68%,←010.51% │ →001.55% │ ←004.11% │ →006.61% │ ←006.94%,22.60%,65.68%,11.71%,→039.52% │ ←003.20% │ ←176.64%,50.48%,49.52%,49.48%,50.52%,29563276248.12,28999995220.18,8546973169,8726037284,6303542101,1525980747,1539844970,3729062242,3775295312
_ydjb,ronef,zxcvp,wuhgq,ltais,km___,ronefltais,1151.177123,20.02%,←000.76%,37.21%,→000.07%,59367345638.92,→000.39%,→002.34%,1.75,→001.71%,1.73,1.76,08.22% │ 09.76% │ 10.98% │ 12.36% │ 08.58%,09.35% │ 12.98% │ 10.32% │ 09.58% │ 07.88%,06.66% │ 09.46% │ 14.64% │ 13.28% │ 05.95%,06.70% │ 14.18% │ 12.95% │ 09.64% │ 06.55%,←004.38% │ ←001.88% │ ←006.44% │ →004.78% │ →008.16%,22.68%,64.16%,13.17%,→033.93% │ →001.35% │ ←117.54%,49.90%,50.10%,49.98%,50.02%,29626068678.10,29741276960.82,8633681512,8639328941,6426771841,1735652491,1722623500,3646787051,3734340763
_duqb,sraep,zxcvy,kgnfw,hotil,jm___,sraephotil,1150.977675,20.62%,←001.83%,37.65%,←000.45%,58975318045.42,←001.75%,→001.98%,1.73,→001.78%,1.72,1.75,07.80% │ 10.56% │ 11.64% │ 12.29% │ 08.14%,08.21% │ 11.82% │ 11.76% │ 10.06% │ 07.71%,06.58% │ 10.54% │ 14.38% │ 13.15% │ 05.47%,05.66% │ 12.22% │ 16.28% │ 09.77% │ 05.96%,←001.14% │ ←004.93% │ →000.98% │ ←003.97% │ →000.84%,26.91%,60.91%,12.18%,→038.30% │ ←006.55% │ ←154.64%,50.43%,49.57%,50.11%,49.89%,29744056955.85,29231261089.57,8655934687,8617075766,6503443047,1797001419,1764620954,3615755733,3688700875
_fgmq,notih,zxcvy,blupj,dreas,kw___,notihdreas,1150.864325,17.75%,→000.90%,36.49%,→002.05%,58588184856.48,←002.03%,→001.22%,1.77,←000.65%,1.77,1.76,08.94% │ 10.53% │ 10.58% │ 10.91% │ 09.54%,08.92% │ 11.97% │ 10.44% │ 10.00% │ 08.17%,07.62% │ 09.94% │ 14.17% │ 11.27% │ 06.48%,06.19% │ 12.49% │ 14.75% │ 10.42% │ 06.68%,←009.44% │ ←005.25% │ ←001.39% │ →008.81% │ ←006.93%,22.80%,65.53%,11.67%,→038.06% │ ←002.81% │ ←175.49%,50.50%,49.50%,49.48%,50.52%,29588189636.30,28999995220.18,8546973169,8726037284,6303542101,1525980747,1539844970,3729062242,3775295312
_ygdq,nitoh,zxcvw,blpuk,maers,fj___,nitohmaers,1150.602186,18.17%,→000.74%,36.60%,←000.83%,60549081487.46,←000.68%,←000.04%,1.76,→000.60%,1.76,1.77,08.80% │ 09.09% │ 10.43% │ 12.43% │ 09.43%,09.05% │ 12.71% │ 09.95% │ 09.24% │ 08.88%,07.62% │ 09.48% │ 14.17% │ 12.46% │ 06.47%,06.41% │ 12.77% │ 14.12% │ 09.31% │ 07.19%,→000.99% │ →001.67% │ ←004.88% │ →002.21% │ ←004.18%,24.42%,63.86%,11.73%,→037.63% │ ←003.68% │ ←140.74%,50.17%,49.83%,50.21%,49.79%,30377618264.49,30171463222.97,8672071502,8600938951,6322058577,1563475489,1575195405,3743726837,3742114241
_duqb,sraep,zxcvy,jgnfw,hotil,km___,sraephotil,1150.272318,20.79%,←000.16%,37.65%,←000.45%,58979903824.79,←001.74%,→001.98%,1.73,→001.78%,1.72,1.75,07.80% │ 10.55% │ 11.64% │ 12.29% │ 08.14%,08.21% │ 11.82% │ 11.77% │ 10.05% │ 07.72%,06.58% │ 10.54% │ 14.38% │ 13.15% │ 05.47%,05.66% │ 12.22% │ 16.28% │ 09.77% │ 05.96%,←001.11% │ ←005.02% │ →001.13% │ ←004.02% │ →000.86%,26.10%,60.90%,13.00%,→035.17% │ ←006.60% │ ←105.36%,50.43%,49.57%,50.11%,49.89%,29744056955.85,29235846868.94,8655934687,8617075766,6503443047,1797001419,1794219350,3615755733,3688700875
