keys_1, keys_2, keys_3, keys_4, keys_5, keys_6, fitness, count_ratio, effort, left_effort, left_effort_ratio, left_count, left_count_ratio, right_effort, right_effort_ratio, right_count, right_count_ratio, bigram_switches, switch_ratio, row_switch_cost, row_switch_ratio
qmubx, lreop, wfyd_, _htc_, kansi, _gvzj, 5.3156, 0.97, 15456974.06, 8020010.88, 51.89%, 2452132, 49.18%, 7436963.18, 48.11%, 2533560, 50.82%, 1703700, 34.17%, 1203354, 24.14%
jmubq, lreop, wfydx, _htc_, kansi, zgv__, 5.3150, 0.98, 15463580.04, 8075554.79, 52.22%, 2463684, 49.42%, 7388025.24, 47.78%, 2522008, 50.58%, 1698189, 34.06%, 1205709, 24.18%
xmupq, lreob, wfyd_, _htc_, kansi, _gvzj, 5.3134, 0.97, 15440837.92, 8003874.74, 51.84%, 2452132, 49.18%, 7436963.18, 48.16%, 2533560, 50.82%, 1703700, 34.17%, 1219643, 24.46%
xmupq, lreob, wfyd_, _htc_, kansi, _gvjz, 5.3133, 0.97, 15441044.72, 8003874.74, 51.84%, 2452132, 49.18%, 7437169.98, 48.16%, 2533560, 50.82%, 1703700, 34.17%, 1219643, 24.46%
jmubq, lreop, xfyd_, _htw_, gansi, _cvkz, 5.3121, 0.91, 15407773.61, 7670837.85, 49.79%, 2379742, 47.73%, 7736935.76, 50.21%, 2605950, 52.27%, 1684623, 33.79%, 1212391, 24.32%
qmubj, lreop, xfyd_, _htw_, gansi, _cvkz, 5.3112, 0.91, 15410580.99, 7673645.23, 49.79%, 2379742, 47.73%, 7736935.76, 50.21%, 2605950, 52.27%, 1684623, 33.79%, 1212391, 24.32%
_ucdq, maerp, ybvlk, _htw_, finos, _gzjx, 5.0959, 1.04, 16138298.56, 8771491.01, 54.35%, 2541621, 50.98%, 7366807.55, 45.65%, 2444071, 49.02%, 1721917, 34.54%, 1180943, 23.69%
_ucdq, maerp, ybvlk, _htw_, fnois, _gzxj, 5.0765, 1.04, 16200079.84, 8771491.01, 54.14%, 2541621, 50.98%, 7428588.84, 45.86%, 2444071, 49.02%, 1721917, 34.54%, 1180943, 23.69%
_ucdq, maerp, ykblv, _htw_, fnois, _gzxj, 5.0681, 1.04, 16226666.40, 8798077.56, 54.22%, 2541621, 50.98%, 7428588.84, 45.78%, 2444071, 49.02%, 1721917, 34.54%, 1180943, 23.69%
_uopf, mresb, _vwgq, xhtd_, kianc, _ljyz, 5.0562, 0.95, 16173215.58, 8077747.74, 49.95%, 2431467, 48.77%, 8095467.84, 50.05%, 2554225, 51.23%, 1784345, 35.79%, 1206741, 24.20%
_ucdz, maerv, ybqlk, _htw_, fnois, _gpxj, 5.0380, 0.96, 16307812.12, 8416501.47, 51.61%, 2440888, 48.96%, 7891310.65, 48.39%, 2544804, 51.04%, 1764655, 35.39%, 1168620, 23.44%
xvuk_, coerf, wpmdb, qhts_, _naig, _lyjz, 5.0362, 0.93, 16182277.81, 8249802.08, 50.98%, 2406892, 48.28%, 7932475.74, 49.02%, 2578800, 51.72%, 1740560, 34.91%, 1253146, 25.13%
_ucdq, marep, ykblv, _htw_, fions, _gzxj, 5.0336, 1.04, 16337939.70, 8973882.18, 54.93%, 2541621, 50.98%, 7364057.52, 45.07%, 2444071, 49.02%, 1721917, 34.54%, 1180943, 23.69%
xhtzq, wrsep, _ybl_, judc_, maion, _gkfv, 5.0220, 1.01, 16375405.14, 8196719.76, 50.06%, 2506399, 50.27%, 8178685.38, 49.94%, 2479293, 49.73%, 1796426, 36.03%, 1151098, 23.09%
_xcdq, marep, ykblv, _htu_, fnois, _gzwj, 5.0187, 0.94, 16338876.52, 8368554.96, 51.22%, 2412951, 48.40%, 7970321.55, 48.78%, 2572741, 51.60%, 1705615, 34.21%, 1206271, 24.19%
_zdmq, sarey, pbwlx, jfth_, gionc, kuv__, 5.0183, 1.06, 16318538.23, 8642032.14, 52.96%, 2567359, 51.49%, 7676506.09, 47.04%, 2418333, 48.51%, 1742394, 34.95%, 1205492, 24.18%
qbsy_, mraek, juplx, wcth_, foinv, _dgz_, 5.0171, 0.98, 16244642.50, 8070485.37, 49.68%, 2472949, 49.60%, 8174157.13, 50.32%, 2512743, 50.40%, 1739877, 34.90%, 1280089, 25.68%
_ucdq, marep, ykblv, _htw_, fnois, _gzxj, 5.0138, 1.04, 16402471.02, 8973882.18, 54.71%, 2541621, 50.98%, 7428588.84, 45.29%, 2444071, 49.02%, 1721917, 34.54%, 1180943, 23.69%
_duqx, marep, ykblw, _htz_, fions, _cgjv, 5.0056, 0.94, 16347266.32, 8289752.95, 50.71%, 2415031, 48.44%, 8057513.36, 49.29%, 2570661, 51.56%, 1735440, 34.81%, 1215852, 24.39%
_luqb, maerp, ycvdk, _htw_, fnois, _gzxj, 4.9895, 1.04, 16461836.84, 9033248.00, 54.87%, 2541621, 50.98%, 7428588.84, 45.13%, 2444071, 49.02%, 1721917, 34.54%, 1194941, 23.97%
_ucdq, maerp, ylvbk, _htw_, fnois, _gzxj, 4.9752, 1.04, 16529702.82, 9101113.98, 55.06%, 2541621, 50.98%, 7428588.84, 44.94%, 2444071, 49.02%, 1721917, 34.54%, 1180943, 23.69%
_duqb, marep, ycvlk, _htw_, fions, _gzxj, 4.9648, 1.04, 16561631.34, 9197573.82, 55.54%, 2541621, 50.98%, 7364057.52, 44.46%, 2444071, 49.02%, 1721917, 34.54%, 1182777, 23.72%
_dvqj, maerp, ykblw, _htz_, fnois, _cgxu, 4.9387, 0.88, 16430231.37, 7919424.55, 48.20%, 2332549, 46.78%, 8510806.82, 51.80%, 2653143, 53.22%, 1687382, 33.84%, 1254451, 25.16%
_duby, maerp, qkvlc, _htw_, fnois, _gzxj, 4.9367, 1.04, 16618234.78, 9189645.94, 55.30%, 2541621, 50.98%, 7428588.84, 44.70%, 2444071, 49.02%, 1721917, 34.54%, 1208205, 24.23%
_duqj, marep, ykclw, _htz_, fions, _bgxv, 4.9120, 1.01, 16810941.56, 8875672.90, 52.80%, 2502387, 50.19%, 7935268.66, 47.20%, 2483305, 49.81%, 1815436, 36.41%, 1096324, 21.99%
xvuk_, coerf, wpmdb, qths_, _naig, _lyjz, 4.9010, 0.93, 16628782.80, 8249802.08, 49.61%, 2406892, 48.28%, 8378980.73, 50.39%, 2578800, 51.72%, 1740560, 34.91%, 1253146, 25.13%
_zwmd, sarey, pbqlx, jfth_, gionc, kuv__, 4.7426, 1.06, 17265541.58, 9589035.50, 55.54%, 2567359, 51.49%, 7676506.09, 44.46%, 2418333, 48.51%, 1742394, 34.95%, 1206428, 24.20%
